,col1,diffN,diffu,diffg
0,0,0.299808144,2.350821286,1.032758552
2,2,0.000178891,0.032605163,0.144051961
3,3,0.208696341,1.156080368,0.962506343
4,4,0.182660175,0.818442373,1.067096267
6,6,0.002009815,0.169883782,0.722741181
7,7,0.334752253,1.862505855,1.309319392
8,8,0.000943608,0.061452966,0.326707271
9,9,0.044174003,0.30396875,0.778333998
10,10,0.167753791,0.768694037,0.946250246
11,11,0.000233776,0.070055856,0.298553111
12,12,0.001272356,0.099754682,0.582007794
14,14,0.004076056,0.829627339,0.654064836
15,15,0.001013741,0.102874036,0.621915815
16,16,0.001314455,0.613831807,0.500838381
17,17,0.067467591,0.683121117,0.889294488
18,18,0.168996617,0.891451305,1.191915864
19,19,0.167312558,1.032636002,1.053595726
20,20,0.100081841,0.53075935,1.949151525
21,21,0.313188314,1.697138304,1.183233345
22,22,0.546103528,1.586445849,8.412208132
24,24,0.000170576,0.027521065,0.211010661
25,25,0.043895266,0.453827161,0.893257767
26,26,0.114723488,1.152443456,1.037525549
27,27,0.050532166,0.59498897,0.960611101
28,28,0.044991481,0.468197214,0.813515815
29,29,0.066250665,0.660737289,0.891181167
30,30,0.025425957,0.38695637,0.856502108
31,31,0.000164775,0.239197445,1.19250063
32,32,0.046991878,0.490365792,0.843623155
33,33,0.012127711,0.374565947,0.862713476
34,34,0.063434643,0.451795601,0.873900656
35,35,0.000113585,0.27522679,1.092184651
36,36,0.056410058,0.732467653,0.974824826
37,37,0.067955176,0.522593273,0.901088322
38,38,0.062631808,0.677875236,1.003280676
39,39,0.013173757,0.307283322,0.777901601
40,40,0.032439623,0.596670931,0.900527956
41,41,0.0074089,0.471426616,0.933481586
42,42,0.021649287,0.472870445,0.906706461
43,43,0.000128281,0.183432339,0.63295996
44,44,0.039062252,0.704025397,0.918726139
45,45,0.018390504,0.405432877,0.817836363
46,46,0.021431751,0.336739352,0.785136359
47,47,0.012828204,0.478809612,0.865908669
48,48,0.054219884,0.521188218,0.868456729
49,49,0.00017207,0.327623246,0.987425868
50,50,0.055949139,0.341002632,0.995997788
51,51,0.014959998,0.455064833,0.97907066
52,52,0.03099648,0.365198818,0.87541698
53,53,0.072369364,0.696756284,0.981962492
54,54,1.72E-05,0.44122577,1.440345204
55,55,7.94E-06,3.120268138,1.233619452
56,56,3.11E-05,0.846592779,1.21694958
57,57,0.059303958,0.723202809,0.953755371
58,58,0.097804711,0.710970598,0.973364842
59,59,0.064136565,0.517359287,0.884434944
60,60,0.059867156,0.516953205,0.886080652
61,61,0.039967452,0.619534459,0.92160431
62,62,0.092640517,0.901534396,1.047144196
63,63,0.136670146,0.650374653,0.923127321
66,66,0.032499984,0.590246045,0.955227989
67,67,0.041307197,0.51400668,0.861680976
68,68,0.177704407,0.675692385,0.996218443
69,69,0.084238167,0.587928334,0.924973555
70,70,0.14545715,0.717279388,1.000354673
71,71,0.123584044,0.692490325,0.935990029
72,72,0.000319892,0.113437845,0.709054593
73,73,0.03358702,0.399497847,0.925491099
74,74,0.014743439,0.445423582,0.871384143
75,75,0.120513439,0.76054119,0.954207524
76,76,0.07315318,0.644010142,1.107994927
77,77,0.028561246,0.447179888,0.850543874
78,78,0.099298999,0.545924743,0.89082041
79,79,0.044244545,0.649827236,0.905321446
80,80,0.020010312,0.378284567,0.796092568
81,81,0.146903423,0.800390377,1.00698202
82,82,0.145472423,0.708922062,0.992873827
83,83,0.173832259,0.828819837,0.991660117
84,84,0.129322957,1.286351012,1.088985219
85,85,0.015329927,0.293849738,0.818492895
86,86,0.029644314,0.420757642,0.868492397
87,87,0.079483919,0.896460077,0.984335628
88,88,0.0352386,0.512523135,0.866894427
89,89,0.043309034,0.438630468,0.91566761
90,90,0.053283284,0.945167947,1.020298984
91,91,5.10E-05,0.058801602,0.575682988
92,92,1.63E-05,0.265124976,1.66015432
93,93,0.035861792,0.469611337,0.841438411
94,94,9.08E-05,-3.114325484,1.10756777
95,95,0.22655569,0.812664068,1.06164998
96,96,0.000512254,0.229911414,0.737850726
97,97,0.039003644,0.690952501,0.931691605
98,98,0.053513838,0.49081398,0.885010565
99,99,0.001357779,0.354042136,1.245732194
100,100,0.212955983,0.77009371,0.957534185
101,101,0.007586067,0.39752162,1.386172449
102,102,0.075607714,0.610143216,0.948577662
103,103,0.039395698,0.412537565,0.835853075
104,104,0.031938507,0.510362492,0.850769753
105,105,0.059407617,0.421725526,0.842723252
106,106,0.061239538,0.696937828,1.017985115
107,107,0.066009984,0.532610568,0.893228944
108,108,0.093960642,0.747534994,0.971321219
109,109,0.003700562,0.40211163,0.795802575
110,110,0.084880156,0.538952899,0.882653865
111,111,0.055893574,0.51071749,0.854450639
112,112,0.08284479,0.711409077,0.96683959
113,113,0.019518992,0.391111935,0.847953494
114,114,0.089530201,0.896433216,1.059127988
115,115,0.004988174,0.252888889,0.78843757
116,116,0.0977375,0.576668845,0.878120383
117,117,0.000185069,0.193436436,1.035319671
118,118,0.061016977,0.635355745,0.93348388
119,119,0.007913114,0.436894494,0.900246706
120,120,0.000325541,0.199943405,0.632865184
121,121,0.017507898,0.334823484,0.797528964
122,122,0.018095176,0.35059335,0.813149034
123,123,0.001966701,0.392402118,0.833409799
124,124,0.002565664,0.524854797,0.977586012
125,125,0.078552185,0.763665083,0.956079982
126,126,0.024692979,0.543061779,0.972585735
127,127,0.04945821,0.529318658,0.853518392
128,128,0.017416918,0.491342931,0.886621911
129,129,0.032980673,0.404456231,0.831452363
130,130,0.014197743,0.38288647,0.925134291
131,131,7.40E-06,0.010014221,0.134191062
132,132,1.99E-05,0.078433632,0.770338527
133,133,0.098254049,1.230412104,1.081708131
134,134,0.009917635,0.973854381,1.411472492
135,135,0.001650514,0.389906402,1.253556037
136,136,1.93E-05,0.007746995,0.123163601
137,137,0.014187539,0.429288834,0.49768116
138,138,0.028041738,0.522628901,0.829983007
139,139,0.237563428,0.672984139,0.864382569
140,140,0.026226402,0.402432652,0.855760871
141,141,0.049065142,0.964880188,0.986961024
142,142,0.086725454,0.48711088,0.868742108
143,143,0.000378519,0.209692654,0.094616483
144,144,0.076752273,0.684411649,0.887708547
