name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,RAJ2000,DEJ2000,name_x,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,grouptot,OName,Size,angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_x,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID_x,mode,q_mode,class,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag_x,e_rmag,imag_x,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA_x,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_xa
1.40824E+14,60.951667,15.857583,,,,,11.807,10.784,10.363,,,,,,,,,Galah_DR2,60.951929,15.857721,GALEX J040348.4+155127,6376967516879585854,6376967516878536704,AIS,60.900838,16.234394,397.45,397.45,176.1012,-26.566,50172,1473,46,0.379859,true,1,0.4031,0,0,,,19.6952,0.0668,,,-0.3848,0.0668,,,-0.2917,0.0612,,,-0.3525,0.0786,0,0,0,0,,,48.077,2.95643,,,1812.55,1010.4,,3.707,,0.002,0.9835,0.0,0.153,,-8.19,-16.48,,,11.3598,4.07537,3.5,8.58E-4,7.27E-4,,,,297.3,344.5,,,0.58,,,0.12,,C,0,1,6376967516879586304,6376967516879585854,0,1,6376967516879586304,6376967516879585854,6376967516879585854,N,0.0,1.034133,60.9517637222625,15.857554453949,0.001,0.001,90.0,45417084429742208,60.95177618159,0.036,15.8575283204,0.0169,1.2264,0.0369,2.784,0.08,-6.07,0.038,false,912110.0,261.934,10.788248,340267.0,257.576,11.52184,817724.0,433.282,9.980403,1.541437,23.87,0.41,15,4417.01,0.6607,0.3273,9.63,31.832,0.828897,60.951797,15.857526,0.057,0.053,90.0,1237673285740527673,1,,6,J040348.43+155127.0,*,483856286613520,2006.8047,3,15.286,0.007,12.007,0.001,10.886,0.0,10.405,0.0,10.596,0.001,,,,,,,,,,,0,,,,0.837051
1.61009E+14,64.945125,-5.104778,,,,,13.783,12.788,12.446,,,,,,,,,Galah_DR2,64.945103,-5.104347,GALEX J041946.8-050615,6377530497971524841,6377530497970470912,AIS,64.887803,-5.525594,396.05,396.05,198.6592,-35.8228,50188,2401,75,0.425093,true,1,0.0444,0,0,,,22.878,0.4449,,,2.798,0.4449,,,2.9232,0.5259,,,99.0,99.0,0,1,0,0,,,2.56336,1.05012,,,1794.53,2931.45,,6.375,,0.003,0.8502,0.0,0.1703,,-42.63,-45.18,,,6.37464,37.7245,3.5,4.89E-4,4.05E-4,,,,319.0,380.1,,,1.01,,,0.49,,C,0,1,6377530497971524608,6377530497971524841,0,1,6377530497971524608,6377530497971524841,6377530497971524841,N,0.0,1.552887,64.9451375060127,-5.1047806979864,0.001,0.0,90.0,3202598512371692800,64.94513424039,0.028,-5.10479398768,0.0178,0.431,0.0379,-0.755,0.051,-3.087,0.03,true,136515.0,24.6472,12.850417,55343.3,57.3902,13.493727,115762.0,74.9774,12.103006,1.39072,-30.53,0.95,11,4670.92,0.3822,0.193,9.04,35.02,1.566208,64.945146,-5.104783,0.055,0.049,90.0,1237649962461692018,1,,6,J041946.83-050617.2,*,483856285569044,1999.7851,3,16.708,0.008,14.369,0.004,12.942,0.001,12.624,0.001,12.982,0.007,,,,,,,1.7,2.8,1.5,2.8,0,,,,1.576966
1.61229E+14,78.292417,16.000278,,,,,14.804,13.855,13.472,,,,,,,,,Galah_DR2,78.29226,16.000363,GALEX J051310.1+160001,6381822918351913888,6381822918350864384,AIS,78.46289,16.242092,215.6,215.6,186.8707,-13.2969,50310,225,7,0.292066,true,1,0.4045,0,0,,,21.211,0.4606,,,1.131,0.4606,,,1.9181,0.4977,,,1.5696,0.7053,0,0,0,16,,,11.9019,5.04786,,,2331.17,1344.32,,7.596,,0.003,0.8954,0.0,0.6313,,62.01,62.16,,,7.59608,55.9087,6.62786,8.72E-4,3.22E-4,,,,133.6,154.8,,,1.83,,,0.82,,C,0,1,6381822918351913984,6381822918351913888,0,1,6381822918351913984,6381822918351913888,6381822918351913888,N,0.0,0.62277,78.2924124927285,16.0002847481556,0.001,0.001,90.0,3393860720391320320,78.29242024879,0.0306,16.00028021102,0.0228,0.255,0.0357,1.732,0.067,-1.054,0.045,false,52757.6,18.0784,13.882654,21029.1,33.0223,14.544335,45971.3,86.1106,13.105701,1.438634,,,0,4486.54,0.432,0.213,,,0.598191,78.292392,16.000263,0.055,0.052,0.0,1237673473644626168,1,,6,J051310.17+160000.9,*,202346915565656,2006.835,3,17.098,0.011,15.231,0.005,15.847,0.013,13.625,0.001,13.4,0.006,,,,,,,-2.0,2.4,-0.3,2.4,0,,,,0.582875
1.60109E+14,123.263875,13.724694,,,,,12.81,11.938,11.718,,,,,,,,,Galah_DR2,123.263941,13.724795,GALEX J081303.3+134329,6377917521769532883,6377917521768480768,AIS,123.297245,13.522355,159.0,159.0,209.3673,24.1809,50199,2273,71,0.205012,true,1,0.0279,0,0,,,19.6975,0.0953,,,-0.3825,0.0953,,,-0.3523,0.0905,,,-0.4067,0.1044,0,0,0,0,,,47.9725,4.20823,,,2014.29,2390.06,,3.249,,0.001,0.9835,0.0,0.0176,,9.61,43.87,,,10.7335,0.813367,3.5,7.53E-4,7.4E-4,,,,115.4,137.8,,,0.53,,,0.13,,C,0,1,6377917521769532416,6377917521769532883,0,1,6377917521769532416,6377917521769532883,6377917521769532883,N,0.0,0.432022,123.2638809581519,13.7247141417456,0.001,0.001,90.0,650705687286899968,123.26386743797,0.0354,13.724704859,0.0219,0.5869,0.0429,-3.051,0.073,-2.156,0.048,false,292815.0,58.2164,12.021883,131059.0,138.34,12.55772,228219.0,148.099,11.366041,1.191679,48.82,0.65,9,4903.4,,,8.53,37.902,0.358921,123.263857,13.724722,0.045,0.044,90.0,1237667430085951750,1,,6,J081303.32+134328.9,*,483854105579536,2005.0469,3,15.614,0.007,12.907,0.001,12.056,0.001,11.815,0.001,12.601,0.009,,,,,,,-3.8,2.3,1.0,2.3,0,,,,0.394293
1.60106E+14,124.485167,14.35,,,,,14.402,13.083,13.156,,,,,,,,,Galah_DR2,124.484813,14.349805,GALEX J081756.3+142059,6377917531433208638,6377917531432157184,AIS,124.845972,14.206993,128.0,128.0,209.2616,25.5166,50199,2561,80,0.378017,true,1,0.0274,0,0,,,20.6848,0.2032,,,0.6048,0.2032,,,0.6399,0.1739,,,0.6245,0.2513,0,0,0,0,,,19.3225,3.61502,,,2746.18,2250.5,,6.794,,0.003,0.9812,0.0,0.2287,,13.3,14.37,,,0.0,7.00212,3.5,8.92E-4,6.88E-4,,,,95.1,102.5,,,0.81,,,0.32,,C,0,1,6377917531433208832,6377917531433208638,0,1,6377917531433208832,6377917531433208638,6377917531433208638,N,0.0,1.418697,124.4851637206989,14.3499878417724,0.001,0.0,90.0,652207693186643584,124.48516633862,0.0211,14.34994544008,0.0135,0.3591,0.0308,0.589,0.048,-9.848,0.027,false,105399.0,21.6657,13.131274,45881.5,52.0443,13.697293,84534.0,45.4861,12.444342,1.252952,,,0,4793.84,0.6187,0.238,8.88,37.519,1.389061,124.485158,14.349972,0.048,0.048,90.0,1237667430086541443,1,,6,J081756.43+142059.8,*,483856252014608,2005.0469,3,16.371,0.009,14.151,0.003,13.188,0.002,12.933,0.002,13.349,0.009,,,,,,,3.5,2.3,-2.3,2.3,0,,,,1.343485
1.60331E+14,127.189625,13.73125,,,,,10.738,,,,,,,,,,,Galah_DR2,127.189707,13.731259,GALEX J082845.5+134352,6377811905302496812,6377811905301446656,AIS,126.831002,13.883122,219.0,219.0,211.0709,27.6733,50196,385,12,0.380004,true,1,0.0539,0,1,,,16.9048,0.0198,,,-3.1752,0.0198,,,-3.0863,0.0207,,,-3.174,0.0198,0,0,0,0,,,628.167,11.4246,,,1095.88,1524.36,,3.116,,0.001,0.9901,0.0,0.0253,,10.86,-1.87,,,15.039,1.5962,3.5,0.001058,0.001032,,,,167.5,167.5,,,0.47,,,0.04,,C,0,1,6377811905302497280,6377811905302496812,0,1,6377811905302497280,6377811905302496812,6377811905302496812,N,0.0,0.289157,127.1895982567575,13.7312443795353,0.001,0.001,90.0,651048911008820608,127.18968411852,0.0404,13.73119567458,0.0274,1.3287,0.0522,19.372,0.086,-11.312,0.051,false,2379800.0,725.559,9.747014,1076030.0,680.371,10.271823,1838550.0,1443.88,9.100731,1.171092,36.86,0.34,4,4979.22,0.114,0.095,10.33,59.052,0.383912,127.189639,13.731224,0.054,0.053,90.0,1237667732344209534,2,,6,J082845.51+134352.4,*,483856286617616,2005.1887,3,14.499,0.006,10.442,0.0,9.766,0.0,9.484,0.0,10.053,0.001,,,,,,,,,,,0,,,,0.268876
1.60111E+14,129.684417,10.617194,,,,,14.33,13.384,13.029,,,,,,,,,Galah_DR2,129.684955,10.616628,GALEX J083844.3+103659,6377811949325911790,6377811949324861440,AIS,129.291457,10.757985,222.45,222.45,215.4312,28.6047,50196,1697,53,0.4117,true,1,0.036,0,0,,,21.6161,0.2616,,,1.5361,0.2616,,,2.0763,0.3191,,,1.8272,0.4227,0,0,0,0,,,8.19553,1.97398,,,992.51,1563.77,,11.193,,0.005,0.9452,0.0,0.5474,,32.17,32.46,,,11.1927,3.15818,3.5,0.001157,5.24E-4,,,,173.3,175.9,,,1.79,,,0.72,,C,0,1,6377811949325912064,6377811949325911790,0,1,6377811949325912064,6377811949325911790,6377811949325911790,N,0.0,2.787063,129.6844110684009,10.617198082716,0.001,0.0,90.0,601443653647467904,129.68439556204,0.0231,10.6171939567,0.0134,0.1695,0.0301,-3.54,0.049,-0.958,0.03,false,78174.5,13.2575,13.455704,32166.4,30.4004,14.082881,65625.6,43.7248,12.719237,1.363644,,,0,4591.2,0.16,0.076,,,2.813563,129.684393,10.617162,0.06,0.052,90.0,1237670594403041337,2,,6,J083844.25+103701.7,*,202381275303952,2005.8603,1,16.97,0.008,14.586,0.003,13.557,0.006,13.458,0.004,13.04,0.004,,,,,,,-2.9,2.4,-1.6,2.4,0,,,,2.766317
1.70102E+14,129.765917,13.781333,,,,,12.488,11.605,11.262,,,,,,,,,Galah_DR2,129.765903,13.781248,GALEX J083903.8+134652,6377811935367270055,6377811935366217728,AIS,129.800568,13.302301,215.0,215.0,212.1646,29.9855,50196,1281,40,0.480131,true,1,0.0494,0,0,,,20.2682,0.107,,,0.1882,0.107,,,0.2115,0.0995,,,0.1513,0.1198,0,1,0,0,,,28.3608,2.7938,,,2038.61,3030.27,,4.621,,0.002,0.9835,0.0,0.0916,,-2.98,-18.14,,,11.1319,54.5069,3.5,8.12E-4,7.38E-4,,,,168.4,189.8,,,0.56,,,0.17,,C,0,1,6377811935367270400,6377811935367270055,0,1,6377811935367270400,6377811935367270055,6377811935367270055,N,0.0,0.308442,129.7659123510313,13.7813382669852,0.002,0.001,90.0,603384253015346560,129.76591802011,0.0424,13.7813246072,0.0313,0.5658,0.0662,1.279,0.1,-3.173,0.056,false,414917.0,112.933,11.643462,178885.0,231.62,12.219952,332793.0,272.354,10.956485,1.263467,35.59,0.75,7,4773.82,0.1095,0.0587,11.31,59.823,0.326602,129.765889,13.781327,0.071,0.063,90.0,1237667783348453496,1,,6,J083903.81+134652.7,*,483856253063184,2005.1942,3,15.923,0.01,12.898,0.001,11.651,0.0,11.39,0.001,13.776,0.015,,,,,,,1.0,2.4,4.7,2.4,0,,,,0.289925
1.60327E+14,129.822833,-0.480278,,,,,14.162,13.37,13.606,,,,,,,,,Galah_DR2,129.822904,-0.480289,GALEX J083917.4-002849,6377987838974105029,6377987838973050880,AIS,130.024336,-0.882219,157.0,301.0,226.4461,23.5598,50201,737,23,0.449574,true,1,0.0297,0,0,,,20.3141,0.0976,,,0.2341,0.0976,,,0.2836,0.0889,,,0.3036,0.1204,0,1,0,0,,,27.1878,2.44314,,,2406.24,2886.92,,4.873,,0.002,0.9835,0.0,0.2257,,-11.88,-29.07,,,11.0305,59.8991,3.5,8.72E-4,6.75E-4,,,,239.1,136.3,,,0.55,,,0.15,,C,0,1,6377987838974104576,6377987838974105029,0,1,6377987838974104576,6377987838974105029,6377987838974105029,N,0.0,0.259297,129.8228300832288,-0.4803034735247,0.001,0.0,90.0,3073629986024857344,129.82280228864,0.0247,-0.48032471016,0.0179,0.6517,0.029,-6.455,0.049,-4.932,0.031,false,77835.7,11.4059,13.460419,36491.5,44.2723,13.945909,58877.9,43.0537,12.837038,1.108871,,,0,4945.18,,,3.88,8.091,0.271144,129.822816,-0.480288,0.047,0.042,90.0,1237654898984812572,2,,6,J083917.47-002849.0,*,202381308858384,2001.216,1,15.929,0.005,14.2,0.003,13.99,0.01,13.448,0.002,13.112,0.003,,,,,,,-7.1,2.8,-2.1,2.8,0,,,,0.318055
1.60402E+14,174.692375,6.443861,,,,,14.747,14.001,13.69,,,,,,,,,Galah_DR2,174.692542,6.443824,GALEX J113846.2+062637,6379113716332365699,6379113716331315200,AIS,174.430837,6.428396,106.0,106.0,259.7939,63.0569,50233,65,2,0.260512,true,1,0.0247,0,0,,,21.006,0.2474,,,0.926,0.2474,,,0.9908,0.2317,,,0.7833,0.2886,0,0,0,0,,,14.3749,3.27525,,,1282.09,1953.75,,7.351,,0.003,0.983,0.0,0.139,,-45.46,-43.03,,,9.93571,4.08469,3.5,7.45E-4,6.41E-4,,,,85.6,108.5,,,0.84,,,0.32,,C,0,1,6379113716332365824,6379113716332365699,0,1,6379113716332365824,6379113716332365699,6379113716332365699,N,0.0,0.612001,174.6923847725944,6.4438465782178,0.001,0.001,90.0,3909587272169573888,174.69235628027,0.0275,6.44380481402,0.0263,0.1997,0.0334,-6.576,0.067,-9.7,0.064,false,45766.3,14.4655,14.037003,20938.3,27.6842,14.549035,35452.7,38.4246,13.387797,1.161238,,,0,4975.57,,,,,0.568286,174.692379,6.443841,0.001,0.001,90.0,1237658422486499351,1,+,6,J113846.17+062637.8,*,35255508664336,2002.1746,3,16.516,0.006,14.732,0.003,13.987,0.003,13.705,0.003,13.58,0.004,,,,,,,-7.8,2.6,-9.0,2.6,0,,,,0.588083
