,name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,RAJ2000,DEJ2000,name_x,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,grouptot,OName,Size,angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist_x,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID_x,mode,q_mode,class,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag_x,e_rmag,imag_x,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA_x,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_xa,uflux
0,1.40824E+14,60.95166700000001,15.857582999999998,,,,,11.807,10.784,10.363,,,,,,,,,Galah_DR2,60.95192900000001,15.857721,GALEX J040348.4+155127,6376967516879585854,6376967516878536704,AIS,60.900838,16.234394,397.45,397.45,176.1012,-26.566,50172,1473,46,0.379859,True,1,0.4031,0,0,,,19.6952,0.0668,,,-0.3848,0.0668,,,-0.2917,0.0612,,,-0.3525,0.0786,0,0,0,0,,,48.077,2.95643,,,1812.55,1010.4,,3.707,,0.002,0.9835,0.0,0.153,,-8.19,-16.48,,,11.3598,4.0753699999999995,3.5,0.000858,0.000727,,,,297.3,344.5,,,0.58,,,0.12,,C,0,1,6376967516879586304,6376967516879585854,0,1,6376967516879586304,6376967516879585854,6376967516879585854,N,0.0,1.034133,60.9517637222625,15.857554453949001,0.001,0.001,90.0,45417084429742208,60.951776181590006,0.036000000000000004,15.8575283204,0.0169,1.2264,0.0369,2.784,0.08,-6.07,0.038,False,912110.0,261.934,10.788248,340267.0,257.57599999999996,11.52184,817724.0,433.282,9.980402999999999,1.5414370000000002,23.87,0.41,15,4417.01,0.6607,0.3273,9.63,31.831999999999997,0.8288969999999999,60.951797,15.857526000000002,0.057,0.053,90.0,1237673285740527673,1,,6,J040348.43+155127.0,*,483856286613520,2006.8047,3,15.286,0.006999999999999999,12.007,0.001,10.886,0.0,10.405,0.0,10.595999999999998,0.001,,,,,,,,,,,0,,,,0.837051,0.0027901415368489896
1,1.61009E+14,64.945125,-5.104778,,,,,13.783,12.788,12.446,,,,,,,,,Galah_DR2,64.945103,-5.104347,GALEX J041946.8-050615,6377530497971524841,6377530497970470912,AIS,64.887803,-5.525594,396.05,396.05,198.6592,-35.8228,50188,2401,75,0.42509300000000005,True,1,0.0444,0,0,,,22.878,0.4449,,,2.798,0.4449,,,2.9232,0.5259,,,99.0,99.0,0,1,0,0,,,2.56336,1.0501200000000002,,,1794.53,2931.45,,6.375,,0.003,0.8502,0.0,0.1703,,-42.63,-45.18,,,6.37464,37.7245,3.5,0.000489,0.000405,,,,319.0,380.1,,,1.01,,,0.49,,C,0,1,6377530497971524608,6377530497971524841,0,1,6377530497971524608,6377530497971524841,6377530497971524841,N,0.0,1.5528870000000001,64.94513750601271,-5.1047806979864,0.001,0.0,90.0,3202598512371692800,64.94513424039,0.027999999999999997,-5.10479398768,0.0178,0.431,0.0379,-0.755,0.051,-3.0869999999999997,0.03,True,136515.0,24.6472,12.850417,55343.3,57.3902,13.493727,115762.0,74.9774,12.103006,1.3907200000000002,-30.53,0.95,11,4670.92,0.3822,0.193,9.04,35.02,1.566208,64.945146,-5.104783,0.055,0.049,90.0,1237649962461692018,1,,6,J041946.83-050617.2,*,483856285569044,1999.7851,3,16.708,0.008,14.369000000000002,0.004,12.942,0.001,12.624,0.001,12.982000000000001,0.006999999999999999,,,,,,,1.7,2.8,1.5,2.8,0,,,,1.576966,0.0007530538808885167
2,1.61229E+14,78.292417,16.000278,,,,,14.804,13.855,13.472000000000001,,,,,,,,,Galah_DR2,78.29226,16.000363,GALEX J051310.1+160001,6381822918351913888,6381822918350864384,AIS,78.46289,16.242092,215.6,215.6,186.8707,-13.2969,50310,225,7,0.292066,True,1,0.4045,0,0,,,21.211,0.4606,,,1.131,0.4606,,,1.9181,0.4977,,,1.5696,0.7053,0,0,0,16,,,11.9019,5.04786,,,2331.17,1344.32,,7.596,,0.003,0.8954,0.0,0.6313,,62.01,62.16,,,7.596080000000001,55.9087,6.627860000000001,0.000872,0.000322,,,,133.6,154.8,,,1.83,,,0.82,,C,0,1,6381822918351913984,6381822918351913888,0,1,6381822918351913984,6381822918351913888,6381822918351913888,N,0.0,0.6227699999999999,78.2924124927285,16.0002847481556,0.001,0.001,90.0,3393860720391320320,78.29242024879001,0.0306,16.00028021102,0.0228,0.255,0.0357,1.732,0.067,-1.054,0.045,False,52757.6,18.0784,13.882654,21029.1,33.0223,14.544335,45971.3,86.1106,13.105701,1.438634,,,0,4486.54,0.43200000000000005,0.213,,,0.598191,78.292392,16.000263,0.055,0.052000000000000005,0.0,1237673473644626168,1,,6,J051310.17+160000.9,*,202346915565656,2006.835,3,17.098,0.011000000000000001,15.231,0.005,15.847000000000001,0.013000000000000001,13.625,0.001,13.4,0.006,,,,,,,-2.0,2.4,-0.3,2.4,0,,,,0.582875,0.0005258063697965811
3,1.60109E+14,123.263875,13.724694,,,,,12.81,11.937999999999999,11.718,,,,,,,,,Galah_DR2,123.26394099999999,13.724795,GALEX J081303.3+134329,6377917521769532883,6377917521768480768,AIS,123.29724499999999,13.522355,159.0,159.0,209.3673,24.1809,50199,2273,71,0.205012,True,1,0.0279,0,0,,,19.6975,0.0953,,,-0.3825,0.0953,,,-0.3523,0.0905,,,-0.4067,0.1044,0,0,0,0,,,47.9725,4.20823,,,2014.29,2390.06,,3.2489999999999997,,0.001,0.9835,0.0,0.0176,,9.61,43.87,,,10.7335,0.8133670000000001,3.5,0.000753,0.00074,,,,115.4,137.8,,,0.53,,,0.13,,C,0,1,6377917521769532416,6377917521769532883,0,1,6377917521769532416,6377917521769532883,6377917521769532883,N,0.0,0.432022,123.26388095815192,13.7247141417456,0.001,0.001,90.0,650705687286899968,123.26386743796999,0.0354,13.724704859000001,0.0219,0.5869,0.0429,-3.051,0.073,-2.156,0.048,False,292815.0,58.2164,12.021883,131059.0,138.34,12.55772,228219.0,148.099,11.366041000000001,1.1916790000000002,48.82,0.65,9,4903.4,,,8.53,37.902,0.358921,123.263857,13.724722,0.045,0.044000000000000004,90.0,1237667430085951750,1,,6,J081303.32+134328.9,*,483854105579536,2005.0469,3,15.614,0.006999999999999999,12.907,0.001,12.056,0.001,11.815,0.001,12.600999999999999,0.009000000000000001,,,,,,,-3.8,2.3,1.0,2.3,0,,,,0.394293,0.0020626532363015246
4,1.60106E+14,124.48516699999999,14.35,,,,,14.402000000000001,13.083,13.155999999999999,,,,,,,,,Galah_DR2,124.48481299999999,14.349804999999998,GALEX J081756.3+142059,6377917531433208638,6377917531432157184,AIS,124.845972,14.206992999999999,128.0,128.0,209.2616,25.5166,50199,2561,80,0.378017,True,1,0.0274,0,0,,,20.6848,0.2032,,,0.6048,0.2032,,,0.6399,0.1739,,,0.6245,0.2513,0,0,0,0,,,19.3225,3.61502,,,2746.18,2250.5,,6.794,,0.003,0.9812,0.0,0.2287,,13.3,14.37,,,0.0,7.00212,3.5,0.000892,0.000688,,,,95.1,102.5,,,0.81,,,0.32,,C,0,1,6377917531433208832,6377917531433208638,0,1,6377917531433208832,6377917531433208638,6377917531433208638,N,0.0,1.4186969999999999,124.4851637206989,14.349987841772402,0.001,0.0,90.0,652207693186643584,124.48516633861999,0.0211,14.349945440079999,0.0135,0.3591,0.0308,0.589,0.048,-9.847999999999999,0.027000000000000003,False,105399.0,21.6657,13.131274,45881.5,52.0443,13.697293,84534.0,45.4861,12.444342,1.252952,,,0,4793.84,0.6187,0.23800000000000002,8.88,37.519,1.389061,124.48515800000001,14.349972,0.048,0.048,90.0,1237667430086541443,1,,6,J081756.43+142059.8,*,483856252014608,2005.0469,3,16.371,0.009000000000000001,14.151,0.003,13.187999999999999,0.002,12.933,0.002,13.349,0.009000000000000001,,,,,,,3.5,2.3,-2.3,2.3,0,,,,1.343485,0.0010271317227883619
5,1.60331E+14,127.189625,13.73125,,,,,10.738,,,,,,,,,,,Galah_DR2,127.18970700000001,13.731259,GALEX J082845.5+134352,6377811905302496812,6377811905301446656,AIS,126.831002,13.883122,219.0,219.0,211.0709,27.6733,50196,385,12,0.380004,True,1,0.0539,0,1,,,16.9048,0.0198,,,-3.1752,0.0198,,,-3.0863,0.0207,,,-3.174,0.0198,0,0,0,0,,,628.1669999999999,11.4246,,,1095.88,1524.36,,3.116,,0.001,0.9901,0.0,0.0253,,10.86,-1.87,,,15.039000000000001,1.5962,3.5,0.001058,0.001032,,,,167.5,167.5,,,0.47,,,0.04,,C,0,1,6377811905302497280,6377811905302496812,0,1,6377811905302497280,6377811905302496812,6377811905302496812,N,0.0,0.289157,127.1895982567575,13.731244379535301,0.001,0.001,90.0,651048911008820608,127.18968411851999,0.0404,13.731195674579999,0.0274,1.3287,0.0522,19.372,0.086,-11.312000000000001,0.051,False,2379800.0,725.559,9.747014,1076030.0,680.3710000000001,10.271823,1838550.0,1443.88,9.100731,1.171092,36.86,0.34,4,4979.22,0.114,0.095,10.33,59.052,0.383912,127.18963899999999,13.731224,0.054000000000000006,0.053,90.0,1237667732344209534,2,,6,J082845.51+134352.4,*,483856286617616,2005.1887,3,14.499,0.006,10.442,0.0,9.766,0.0,9.484,0.0,10.052999999999999,0.001,,,,,,,,,,,0,,,,0.268876,0.00576004989663005
6,1.60111E+14,129.684417,10.617194,,,,,14.33,13.384,13.029000000000002,,,,,,,,,Galah_DR2,129.684955,10.616628,GALEX J083844.3+103659,6377811949325911790,6377811949324861440,AIS,129.291457,10.757985000000001,222.45,222.45,215.4312,28.6047,50196,1697,53,0.4117,True,1,0.036000000000000004,0,0,,,21.6161,0.2616,,,1.5361,0.2616,,,2.0763,0.3191,,,1.8272,0.4227,0,0,0,0,,,8.19553,1.9739799999999998,,,992.51,1563.77,,11.193,,0.005,0.9452,0.0,0.5474,,32.17,32.46,,,11.1927,3.1581799999999998,3.5,0.001157,0.000524,,,,173.3,175.9,,,1.79,,,0.72,,C,0,1,6377811949325912064,6377811949325911790,0,1,6377811949325912064,6377811949325911790,6377811949325911790,N,0.0,2.7870630000000003,129.6844110684009,10.617198082716,0.001,0.0,90.0,601443653647467904,129.68439556203998,0.0231,10.6171939567,0.0134,0.1695,0.0301,-3.54,0.049,-0.958,0.03,False,78174.5,13.2575,13.455704,32166.4,30.4004,14.082881,65625.6,43.7248,12.719237,1.363644,,,0,4591.2,0.16,0.076,,,2.8135630000000003,129.684393,10.617161999999999,0.06,0.052000000000000005,90.0,1237670594403041337,2,,6,J083844.25+103701.7,*,202381275303952,2005.8603,1,16.97,0.008,14.585999999999999,0.003,13.557,0.006,13.458,0.004,13.04,0.004,,,,,,,-2.9,2.4,-1.6,2.4,0,,,,2.766317,0.0005915969526517945
7,1.70102E+14,129.765917,13.781332999999998,,,,,12.488,11.605,11.262,,,,,,,,,Galah_DR2,129.765903,13.781248000000001,GALEX J083903.8+134652,6377811935367270055,6377811935366217728,AIS,129.800568,13.302301000000002,215.0,215.0,212.1646,29.9855,50196,1281,40,0.48013100000000003,True,1,0.0494,0,0,,,20.2682,0.107,,,0.1882,0.107,,,0.2115,0.0995,,,0.1513,0.1198,0,1,0,0,,,28.3608,2.7938,,,2038.61,3030.27,,4.621,,0.002,0.9835,0.0,0.0916,,-2.98,-18.14,,,11.1319,54.5069,3.5,0.0008119999999999999,0.0007379999999999999,,,,168.4,189.8,,,0.56,,,0.17,,C,0,1,6377811935367270400,6377811935367270055,0,1,6377811935367270400,6377811935367270055,6377811935367270055,N,0.0,0.308442,129.7659123510313,13.7813382669852,0.002,0.001,90.0,603384253015346560,129.76591802011,0.0424,13.7813246072,0.0313,0.5658,0.0662,1.2790000000000001,0.1,-3.173,0.055999999999999994,False,414917.0,112.93299999999999,11.643462,178885.0,231.62,12.219952000000001,332793.0,272.35400000000004,10.956485,1.2634670000000001,35.59,0.75,7,4773.82,0.1095,0.0587,11.31,59.823,0.326602,129.765889,13.781327,0.071,0.063,90.0,1237667783348453496,1,,6,J083903.81+134652.7,*,483856253063184,2005.1942,3,15.923,0.01,12.898,0.001,11.651,0.0,11.39,0.001,13.776,0.015,,,,,,,1.0,2.4,4.7,2.4,0,,,,0.289925,0.001551765893839252
8,1.60327E+14,129.822833,-0.480278,,,,,14.162,13.37,13.606,,,,,,,,,Galah_DR2,129.822904,-0.480289,GALEX J083917.4-002849,6377987838974105029,6377987838973050880,AIS,130.024336,-0.8822190000000001,157.0,301.0,226.4461,23.5598,50201,737,23,0.449574,True,1,0.0297,0,0,,,20.3141,0.0976,,,0.2341,0.0976,,,0.2836,0.0889,,,0.3036,0.1204,0,1,0,0,,,27.1878,2.44314,,,2406.24,2886.92,,4.873,,0.002,0.9835,0.0,0.2257,,-11.88,-29.07,,,11.0305,59.8991,3.5,0.000872,0.000675,,,,239.1,136.3,,,0.55,,,0.15,,C,0,1,6377987838974104576,6377987838974105029,0,1,6377987838974104576,6377987838974105029,6377987838974105029,N,0.0,0.259297,129.8228300832288,-0.48030347352470004,0.001,0.0,90.0,3073629986024857344,129.82280228864,0.0247,-0.48032471016,0.0179,0.6517,0.028999999999999998,-6.455,0.049,-4.9319999999999995,0.031,False,77835.7,11.4059,13.460419,36491.5,44.2723,13.945909,58877.9,43.0537,12.837038,1.108871,,,0,4945.18,,,3.88,8.091000000000001,0.271144,129.822816,-0.480288,0.047,0.042,90.0,1237654898984812572,2,,6,J083917.47-002849.0,*,202381308858384,2001.2160000000001,1,15.929,0.005,14.2,0.003,13.99,0.01,13.448,0.002,13.112,0.003,,,,,,,-7.1,2.8,-2.1,2.8,0,,,,0.31805500000000003,0.0015432141678133166
9,1.60402E+14,174.692375,6.443861,,,,,14.747,14.001,13.69,,,,,,,,,Galah_DR2,174.692542,6.443824,GALEX J113846.2+062637,6379113716332365699,6379113716331315200,AIS,174.43083700000003,6.428396,106.0,106.0,259.7939,63.0569,50233,65,2,0.26051199999999997,True,1,0.0247,0,0,,,21.006,0.2474,,,0.9259999999999999,0.2474,,,0.9908,0.2317,,,0.7833,0.2886,0,0,0,0,,,14.3749,3.27525,,,1282.09,1953.75,,7.351,,0.003,0.983,0.0,0.139,,-45.46,-43.03,,,9.93571,4.08469,3.5,0.000745,0.000641,,,,85.6,108.5,,,0.84,,,0.32,,C,0,1,6379113716332365824,6379113716332365699,0,1,6379113716332365824,6379113716332365699,6379113716332365699,N,0.0,0.612001,174.6923847725944,6.4438465782178,0.001,0.001,90.0,3909587272169573888,174.69235628027,0.0275,6.44380481402,0.0263,0.1997,0.0334,-6.5760000000000005,0.067,-9.7,0.064,False,45766.3,14.4655,14.037003,20938.3,27.6842,14.549035,35452.7,38.4246,13.387797,1.161238,,,0,4975.57,,,,,0.568286,174.69237900000002,6.443841,0.001,0.001,90.0,1237658422486499351,1,+,6,J113846.17+062637.8,*,35255508664336,2002.1746,3,16.516,0.006,14.732000000000001,0.003,13.987,0.003,13.705,0.003,13.58,0.004,,,,,,,-7.8,2.6,-9.0,2.6,0,,,,0.588083,0.0008987235250633414
