name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin
SDSSJ000015.01+281009.4,0.0625,28.16927778,,18.1,7.24,,,,,,,,,,,,d,Green2013
SDSSJ000035.58-001115.0,0.147916667,-0.1875,,18.8,8.4,,,,,,,,,,,,d,Green2013
SDSSJ000324.63+243815.2,0.8525,24.63755556,,17.97,6.8,,,,,,,,,,,,uG,Green2013
SDSSJ000354.23-104158.2,0.975833333,-10.6995,,18.6,8.33,,,,,,,,,,,,d,Green2013
SDSSJ000457.12+010937.9,1.237916667,1.160527778,,18.39,8.15,,,,,,,,,,,,d,Green2013
SDSSJ000643.14+155800.7,1.679583333,15.96686111,,19.76,8.32,,,,,,,,,,,,d,Green2013
SDSSJ000712.54+010757.9,1.802083333,1.13275,,18.57,7.4,,,,,,,,,,,,u,Green2013
SDSSJ001145.30-004710.2,2.93875,-0.786166667,,18.1,8.5,,,,,,,,,,,,u,Green2013
SDSSJ001245.81-010522.0,3.190833333,-1.089444444,,19.55,8.39,,,,,,,,,,,,d,Green2013
SDSSJ001656.41+010549.8,4.235,1.097166667,,17.85,8.33,,,,,,,,,,,,u,Green2013
SDSSJ001716.46+143840.8,4.318333333,14.64466667,,18.34,8.46,,,,,,,,,,,,d,Green2013
SDSSJ001836.23-110138.5,4.650833333,-11.02736111,,18.68,7.49,,,,,,,,,,,,u,Green2013
SDSSJ002011.85+002912.2,5.049166667,0.486722222,,15.76,7.5,,,,,,,,,,,,g,Green2013
SDSSJ002347.62+000528.9,5.948333333,0.091361111,,16.81,7.23,,,,,,,,,,,,u,Green2013
SDSSJ002714.21+002914.3,6.809166667,0.487305556,,20.74,8.59,,,,,,,,,,,,nL,Green2013
SDSSJ002919.44+004314.2,7.330833333,0.720611111,,18.89,7.25,,,,,,,,,,,,d,Green2013
SDSSJ003013.10-003226.6,7.554583333,-0.540722222,,19.5,8.9,,,,,,,,,,,,u,Green2013
SDSSJ003351.80+151114.3,8.465833333,15.18730556,,20.61,8.56,,,,,,,,,,,,uL,Green2013
SDSSJ003504.79+010845.9,8.769583333,1.146083333,,17.85,9.74,,,,,,,,,,,,uE,Green2013
SDSSJ003721.34+001224.7,9.33875,0.206861111,,19.07,7.35,,,,,,,,,,,,d,Green2013
SDSSJ003813.23+134551.1,9.555,13.76419444,,19.3,8.28,,,,,,,,,,,,uE,Green2013
SDSSJ003937.35+152910.7,9.905416667,15.48630556,,18.63,7.58,,,,,,,,,,,,d,Green2013
