name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ000015.01+281009.4,0.0625,28.16927778,,18.1,7.24,,,,,,,,,,,,d,Green2013,0.0625153016208,28.1692993898414,0.004,0.002,90.0,2854828993164628608,0.06255007698,0.1348,28.16926342497,0.0812,0.4764,0.4764,2099.076406381192,11.610141235946301,0.1862,7.12,0.243,-8.353,0.131,false,1003.68,1.15208,18.18438,6.5742387640537,467.559,5.74426,18.676798,789.123,5.25038,17.519058,1.15774,,,0,,,,,,0.091708
SDSSJ000035.58-001115.0,0.147916667,-0.1875,,18.8,8.4,,,,,,,,,,,,d,Green2013,0.1482539233826,-0.1874693670557,0.01,0.004,90.0,2449940398945300352,0.14828193059,0.3229,-0.18774136894,0.1489,0.6437,0.6437,1553.5187199005748,10.956582454355155,0.3783,6.505,0.67,-63.175,0.278,false,534.322,1.11215,18.868858,7.912275545644844,192.756,6.10479,19.638866,540.852,7.83987,17.929224,1.709642,,,0,,,,,,1.219115
SDSSJ000324.63+243815.2,0.8525,24.63755556,,17.97,6.8,,,,,,,,,,,,uG,Green2013,0.8526586505756,24.6375492474075,0.004,0.003,90.0,2849992104074525440,0.85268301345,0.1416,24.63754642381,0.1055,-0.1306,0.1306,7656.967840735069,14.420284115304725,0.1911,5.143,0.249,-0.656,0.182,false,1122.81,1.19998,18.062603,3.6423188846952748,528.855,5.67528,18.543047,865.941,6.32243,17.4182,1.124847,,,0,,,,,,0.519644
SDSSJ000354.23-104158.2,0.975833333,-10.6995,,18.6,8.33,,,,,,,,,,,,d,Green2013,0.9759586952001,-10.6995063097335,0.007,0.005,90.0,2422580563916795008,0.97610101009,0.2289,-10.69956515448,0.1502,1.0455,1.0455,956.4801530368244,9.903379814231545,0.3048,32.479,0.423,-13.667,0.314,false,639.067,1.33529,18.6745,8.771120185768453,228.394,10.1732,19.454674,605.346,6.30439,17.80691,1.647764,,,0,,,,,,0.444039
SDSSJ000457.12+010937.9,1.237916667,1.160527778,,18.39,8.15,,,,,,,,,,,,d,Green2013,1.238000017724,1.1605620890078,0.009,0.005,90.0,2738375146821064320,1.23811418155,0.2566,1.16041825227,0.1652,-0.107,0.107,9345.794392523365,14.85308111157395,0.3787,26.51,0.559,-33.407,0.35,false,774.656,1.68892,18.465593,3.6125118884260488,304.338,9.03857,19.142996,710.21,8.62898,17.633453,1.509543,,,0,,,,,,0.324434
SDSSJ000643.14+155800.7,1.679583333,15.96686111,,19.76,8.32,,,,,,,,,,,,d,Green2013,1.6797728885319,15.9669187388592,0.024,0.015,90.0,2772539550076633088,1.67973661013,0.6565,15.96674390489,0.4577,1.09,1.09,917.4311926605504,9.812867510296881,0.8278,-8.101,1.516,-40.607,0.943,false,201.755,1.20772,19.926306,10.11343848970312,74.6724,8.63367,20.668488,212.869,8.0177,18.941637,1.726851,,,0,,,,,,0.688094
SDSSJ000712.54+010757.9,1.802083333,1.13275,,18.57,7.4,,,,,,,,,,,,u,Green2013,1.8022213312354,1.1327544546691,0.013,0.007,90.0,2546582042188200192,1.80222988468,0.3309,1.13275283023,0.2773,-0.1596,0.1596,6265.664160401003,13.984835564926449,0.4343,1.986,0.824,-0.377,0.478,false,647.22,1.8075,18.660736,4.675900435073551,325.669,9.57863,19.069447,543.551,9.57106,17.923819,1.145628,,,0,,,,,,0.496955
SDSSJ001145.30-004710.2,2.93875,-0.786166667,,18.1,8.5,,,,,,,,,,,,u,Green2013,2.9387838437466,-0.7861454622085,0.008,0.006,90.0,2544984761030493952,2.93876187406,0.1872,-0.78614968009,0.1412,1.3476,1.3476,742.0599584446423,9.352194988454588,0.2323,-5.102,0.518,-0.98,0.369,false,1047.92,2.15396,18.13754,8.785345011545413,377.91,8.96912,18.907917,1049.73,9.85461,17.209227,1.69869,,,0,,,,,,0.143767
SDSSJ001245.81-010522.0,3.190833333,-1.089444444,,19.55,8.39,,,,,,,,,,,,d,Green2013,3.1908863058419,-1.089392594838,0.016,0.012,90.0,2544773070682735232,3.19087135941,0.4748,-1.08961019729,0.3806,0.8256,0.8256,1211.2403100775193,10.41615157858432,0.5696,-3.471,1.048,-50.54,0.775,false,247.081,1.3154,19.706266,9.29011442141568,90.6772,12.8125,20.457644,281.372,6.93216,18.638718,1.818926,,,0,,,,,,0.266824
SDSSJ001656.41+010549.8,4.235,1.097166667,,17.85,8.33,,,,,,,,,,,,u,Green2013,4.2350433491215,1.0971629640159,0.006,0.003,90.0,2545657941321300480,4.23504378602,0.1367,1.09716133618,0.1022,0.029,0.029,34482.75862068965,17.688010010505216,0.1804,0.101,0.382,-0.378,0.213,false,1278.59,1.71773,17.92154,0.23352998949478376,449.822,5.62414,18.718788,1244.94,5.61961,17.024052,1.694737,,,0,,,,,,0.156597
