col1,Nsigma,usigma,gsigma,starindex
0,11.38640992,104.7589513,17.78357054,0
1,0.939515769,38.90630391,64.7043396,1
2,2.357389241,47.74162123,92.93304672,2
3,9.020613131,12.10435086,20.35410776,3
4,4.368730676,10.95118524,12.14145884,4
5,260.1291804,1394.486906,125.5975744,5
6,4.143435343,56.32985913,50.17159205,6
7,6.753152806,46.82201962,167.9196074,7
8,11.11771957,101.9010672,121.8362266,8
9,4.195070034,62.97516646,40.11174914,9
10,4.42738422,13.95186416,9.726329533,10
11,7.634748275,72.11905542,29.2910786,11
12,5.056281656,97.74250812,75.6381152,12
13,12.59152214,75.73478547,160.8943477,13
14,2.330694832,11.56111715,62.59897511,14
15,4.845158547,69.57389968,68.41652717,15
16,4.164677561,23.29286778,45.1629228,16
17,8.040811736,17.20209178,15.02458881,17
18,8.602511883,8.418172747,52.09247095,18
19,5.573917596,1.968537384,9.698457697,19
20,7.651198562,42.45573698,103.0524522,20
21,5.761154322,54.06449492,99.47152412,21
22,2.016816473,39.7949734,335.3141057,22
23,3.67705435,35.2627652,71.39908167,23
24,13.54948705,87.98749891,107.0790432,24
25,5.499546238,49.41636458,14.48670557,25
26,8.702172039,13.79270974,10.18570608,26
27,7.131134198,31.40941841,5.345732127,27
28,22.61502657,48.11621107,50.61812918,28
29,17.24273028,26.31051619,59.07426511,29
30,3.001397475,5.937840244,8.655378027,30
31,2.29060797,0.801832057,0.778483614,31
32,6.553989565,14.56010388,16.9783204,32
33,5.923248535,16.97460282,14.90561985,33
34,3.521408806,10.25908937,8.556739396,34
35,6.130628042,4.617234747,4.549245985,35
36,2.416876296,3.456080762,1.708316225,36
37,2.047717142,7.850451552,7.670730583,37
38,8.643435555,13.45112772,0.445242451,38
39,3.330922018,10.44325184,20.09486983,39
40,2.143406793,5.914527621,8.999924166,40
41,2.19832523,11.47561901,7.222112411,41
42,3.108262499,11.921078,10.12915741,42
43,6.15973408,2.655733805,9.487339804,43
44,3.00611424,1.931334345,4.411918546,44
45,6.549183938,32.27649121,32.96356262,45
46,3.054112098,13.33190509,16.66298297,46
47,3.453835171,5.23251273,8.08789971,47
48,4.527890142,10.39575034,14.28204851,48
49,3.943356724,4.991094711,0.853246122,49
