,col1,N/gchisq,g/rchisq,r/ichisq,i/zchisq,u/gchisq,totchisq,reducedtotchisq,totchisq2,reducedtotchisq2,starindex,modelindex,test2,diffN,diffu,diffg
0,0,137.5591278,79.06384525,1365.597002,6386.747471,7500.287409,7752.344472,7752.344472,15469.25485,3867.313714,0,92,0.498857311,0.299808144,2.350821286,1.032758552
1,1,0.079661144,2679.459278,6.254756028,669.6237257,8.755144849,675.8784817,675.8784817,3364.172566,841.0431415,1,95,1.244370348,1.38488714,1.573350193,1.476760274
2,2,5.008432801,666.3808482,151.0026321,1467.328401,689.0222178,1618.331033,1618.331033,2978.742531,744.6856329,2,1189,0.460156555,0.000178891,0.032605163,0.144051961
3,3,66.33451001,103.5724257,0.181121078,925.4698103,186.24742,925.6509314,925.6509314,1281.805287,320.4513218,3,1207,0.346190244,0.208696341,1.156080368,0.962506343
4,4,14.54779977,53.06943832,3.908068045,355.1972391,111.1223522,359.1053071,359.1053071,537.8448974,134.4612244,4,1207,0.374433966,0.182660175,0.818442373,1.067096267
5,5,495.4147053,3943.687674,2316.893656,12670.79108,914174.2072,14987.68474,14987.68474,933600.9943,233400.2486,5,130,15.57280212,5.731021901,16.41251755,1.231359315
6,6,14.94687678,279.6862061,197.441605,103.6368571,1425.138186,301.0784621,301.0784621,2020.849731,505.2124328,6,1199,1.678009212,0.002009815,0.169883782,0.722741181
7,7,49.21055787,7049.248641,0.250210309,933.542895,434.7542351,933.7931053,933.7931053,8467.006539,2116.751635,7,1206,2.26683151,0.334752253,1.862505855,1.309319392
8,8,98.77737931,790.4967483,0.537462434,0.51583261,3035.383058,1.053295044,1.053295044,3925.71048,981.4276201,8,341,931.7689529,0.000943608,0.061452966,0.326707271
9,9,12.79910258,402.238107,0.206238846,0.735809607,1351.430351,0.942048453,0.942048453,1767.409609,441.8524023,9,1205,469.0336266,0.044174003,0.30396875,0.778333998
10,10,14.60602044,23.65037213,0.299759609,0.975882274,72.05696753,1.275641883,1.275641883,111.589002,27.8972505,10,278,21.8691867,0.167753791,0.768694037,0.946250246
11,11,48.00792717,274.0977355,1700.038299,5012.711625,431.5506007,6712.749924,6712.749924,7466.406187,1866.601547,11,1185,0.27806809,0.000233776,0.070055856,0.298553111
12,12,22.8051208,1430.281122,1021.863862,527.0551532,3161.539372,1548.919015,1548.919015,6163.54463,1540.886158,12,1200,0.994813895,0.001272356,0.099754682,0.582007794
