name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,Error Bar,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ000015.01+281009.4,0.0625,28.16927778,,18.1,7.24,,,,,,,,,,,,d,Green2013,0.062515302,28.16929939,0.004,0.002,90,2.85483E+18,0.062550077,0.1348,28.16926342,0.0812,0.4764,0.4764,2099.076406,11.61014124,0.1862,7.12,0.243,-8.353,0.131,FALSE,1003.68,1.15208,18.18438,6.574238764,467.559,5.74426,18.676798,789.123,5.25038,17.519058,1.15774,10.99463983,,,0,,,,,,0.091708
SDSSJ000035.58-001115.0,0.147916667,-0.1875,,18.8,8.4,,,,,,,,,,,,d,Green2013,0.148253923,-0.187469367,0.01,0.004,90,2.44994E+18,0.148281931,0.3229,-0.187741369,0.1489,0.6437,0.6437,1553.51872,10.95658245,0.3783,6.505,0.67,-63.175,0.278,FALSE,534.322,1.11215,18.868858,7.912275546,192.756,6.10479,19.638866,540.852,7.83987,17.929224,1.709642,13.94466021,,,0,,,,,,1.219115
SDSSJ000324.63+243815.2,0.8525,24.63755556,,17.97,6.8,,,,,,,,,,,,uG,Green2013,0.852658651,24.63754925,0.004,0.003,90,2.84999E+18,0.852683013,0.1416,24.63754642,0.1055,-0.1306,0.1306,7656.967841,14.42028412,0.1911,5.143,0.249,-0.656,0.182,FALSE,1122.81,1.19998,18.062603,3.642318885,528.855,5.67528,18.543047,865.941,6.32243,17.4182,1.124847,11.99771009,,,0,,,,,,0.519644
SDSSJ000354.23-104158.2,0.975833333,-10.6995,,18.6,8.33,,,,,,,,,,,,d,Green2013,0.975958695,-10.69950631,0.007,0.005,90,2.42258E+18,0.97610101,0.2289,-10.69956515,0.1502,1.0455,1.0455,956.480153,9.903379814,0.3048,32.479,0.423,-13.667,0.314,FALSE,639.067,1.33529,18.6745,8.771120186,228.394,10.1732,19.454674,605.346,6.30439,17.80691,1.647764,16.47758965,,,0,,,,,,0.444039
SDSSJ000457.12+010937.9,1.237916667,1.160527778,,18.39,8.15,,,,,,,,,,,,d,Green2013,1.238000018,1.160562089,0.009,0.005,90,2.73838E+18,1.238114182,0.2566,1.160418252,0.1652,-0.107,0.107,9345.794393,14.85308111,0.3787,26.51,0.559,-33.407,0.35,FALSE,774.656,1.68892,18.465593,3.612511888,304.338,9.03857,19.142996,710.21,8.62898,17.633453,1.509543,17.6675504,,,0,,,,,,0.324434
SDSSJ000643.14+155800.7,1.679583333,15.96686111,,19.76,8.32,,,,,,,,,,,,d,Green2013,1.679772889,15.96691874,0.024,0.015,90,2.77254E+18,1.67973661,0.6565,15.9667439,0.4577,1.09,1.09,917.4311927,9.81286751,0.8278,-8.101,1.516,-40.607,0.943,FALSE,201.755,1.20772,19.926306,10.11343849,74.6724,8.63367,20.668488,212.869,8.0177,18.941637,1.726851,16.65136985,,,0,,,,,,0.688094
SDSSJ000712.54+010757.9,1.802083333,1.13275,,18.57,7.4,,,,,,,,,,,,u,Green2013,1.802221331,1.132754455,0.013,0.007,90,2.54658E+18,1.802229885,0.3309,1.13275283,0.2773,-0.1596,0.1596,6265.66416,13.98483556,0.4343,1.986,0.824,-0.377,0.478,FALSE,647.22,1.8075,18.660736,4.675900435,325.669,9.57863,19.069447,543.551,9.57106,17.923819,1.145628,19.14969045,,,0,,,,,,0.496955
SDSSJ001145.30-004710.2,2.93875,-0.786166667,,18.1,8.5,,,,,,,,,,,,u,Green2013,2.938783844,-0.786145462,0.008,0.006,90,2.54498E+18,2.938761874,0.1872,-0.78614968,0.1412,1.3476,1.3476,742.0599584,9.352194988,0.2323,-5.102,0.518,-0.98,0.369,FALSE,1047.92,2.15396,18.13754,8.785345012,377.91,8.96912,18.907917,1049.73,9.85461,17.209227,1.69869,18.82373003,,,0,,,,,,0.143767
SDSSJ001245.81-010522.0,3.190833333,-1.089444444,,19.55,8.39,,,,,,,,,,,,d,Green2013,3.190886306,-1.089392595,0.016,0.012,90,2.54477E+18,3.190871359,0.4748,-1.089610197,0.3806,0.8256,0.8256,1211.24031,10.41615158,0.5696,-3.471,1.048,-50.54,0.775,FALSE,247.081,1.3154,19.706266,9.290114421,90.6772,12.8125,20.457644,281.372,6.93216,18.638718,1.818926,19.74466,,,0,,,,,,0.266824
SDSSJ001656.41+010549.8,4.235,1.097166667,,17.85,8.33,,,,,,,,,,,,u,Green2013,4.235043349,1.097162964,0.006,0.003,90,2.54566E+18,4.235043786,0.1367,1.097161336,0.1022,0.029,0.029,34482.75862,17.68801001,0.1804,0.101,0.382,-0.378,0.213,FALSE,1278.59,1.71773,17.92154,0.233529989,449.822,5.62414,18.718788,1244.94,5.61961,17.024052,1.694737,11.24374979,,,0,,,,,,0.156597
