,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
0,234,9.69,0.10097721498976243,0.10097658312709518,3.5974257205245115,5.4261852148758924,-2.640251560291984,-4.0,-3.968397,43.703606,29.649231,0.0
1,235,9.69,0.10234464164141847,0.10234399290910412,3.5982625164724267,5.420829031954513,-2.6267323950418775,-4.0,-3.977315,43.626965,29.587444,0.0
2,236,9.69,0.1049594881780595,0.10495880589462636,3.59986257783184,5.410586233888985,-2.6008803965726544,-4.0,-3.977243,43.477798,29.480425,0.0
3,237,9.69,0.10748046326639468,0.10747974692247764,3.601404714163472,5.400713272178475,-2.5759605334037694,-4.0,-3.97717,43.333557,29.377741,0.0
4,238,9.69,0.10991342566440536,0.10991267477345695,3.6028925266560305,5.391187157405032,-2.551914777834571,-4.0,-3.968143,43.191772,29.284348,0.0
5,239,9.69,0.11262595769819518,0.1126251661847356,3.6045506108404775,5.380566452542089,-2.525108762498902,-4.0,-3.96806,43.036907,29.174187,0.0
6,240,9.69,0.1153093645196056,0.11530853057446142,3.606190226684161,5.370060259563057,-2.498593708906206,-4.0,-3.986074,42.890099,29.054947,0.0
7,241,9.69,0.11789135164684984,0.1178904746735405,3.6077672312327382,5.359952044253651,-2.473084260540867,-4.0,-3.976846,42.739433,28.954678,0.0
8,242,9.69,0.12041925556028314,0.12041833417284592,3.609310415605128,5.350055418625609,-2.4481121555383227,-4.0,-3.985904,42.597252,28.846363,0.0
9,243,9.69,0.1232589475148866,0.12325797345563189,3.6110432643799166,5.338929934656424,-2.42005448789826,-4.0,-3.976661,42.427696,28.734234,0.0
10,244,9.69,0.12599897416474837,0.1259979464184064,3.6127145082359178,5.328192945027805,-2.392982738615261,-4.0,-3.985705,42.268482,28.616253,0.0
11,245,9.69,0.12863102210231614,0.12862993997328176,3.6143190607117455,5.317877460439024,-2.3669795418869977,-4.0,-3.976464,42.10498,28.511086,0.0
12,246,9.69,0.13134436558930676,0.1313432240276808,3.6159719327982174,5.307232239909869,-2.340167029748556,-4.0,-3.97636,41.936852,28.397301,0.0
