,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,EEP_x,log10_isochrone_age_yr_x,initial_mass,star_mass_x,log_Teff_x,log_g_x,log_L_x,[Fe/H]_init_x,[Fe/H]_x,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,phase_x,Unnamed: 0_y,EEP_y,log10_isochrone_age_yr_y,star_mass_y,log_Teff_y,log_g_y,log_L_y,[Fe/H]_init_y,[Fe/H]_y,GALEX_FUV,GALEX_NUV,phase_y,uflux,gflux,rflux,iflux,zflux,Ffluxt,Fflux,Nfluxt,Nflux,N/g,g/r,i/z,N/u,u/g,r/i
0,0,0,0,225,9.69,0.1013127364428744,0.1013123164855306,3.461262275122872,5.23285866505106,-2.9903962238812127,0.0,0.04217,19.517654,16.733994,15.075548,13.05839,11.986525,0.0,0,225,9.69,0.1013123164855306,3.461262275122872,5.23285866505106,-2.9903962238812127,0.0,0.04217,44.04652,28.925045,0.0,0.056614755984692,0.7352390464243769,3.3869364015576946,21.710521146099147,58.26613999643575,1.136370721619048e-25,8.850056452482535e-12,5.968280421014932e-20,1.0267454468302316e-05,1.3964783995402747e-05,0.21708085397949345,0.37260956616359386,0.00018135650838234686,0.0770018353350812,0.15600438049209356
1,1,1,1,226,9.69,0.1024665401422345,0.1024661122870814,3.4620699860620863,5.230091810928667,-2.9803350437837857,0.0,0.042182,19.457216,16.678326,15.023293,13.022561,11.95703,0.0,1,226,9.69,0.1024661122870814,3.4620699860620863,5.230091810928667,-2.9803350437837857,0.0,0.042182,43.952419,28.837942,0.0,0.0598561154338658,0.7739194679519953,3.553931415001072,22.438914747314005,59.87068788941961,1.2392543033415113e-25,9.651313902146607e-12,6.466814752273516e-20,1.1125101593772436e-05,1.437501194176253e-05,0.21776432282437894,0.374789659820819,0.00018586407609535584,0.07734152959384988,0.1583825000015425
2,2,2,2,227,9.69,0.1070956415331158,0.1070951812170474,3.465310983737612,5.2189901703222255,-2.939966579987785,0.0,0.04223,19.217844,16.457392,14.815589,12.879663,11.839387,0.0,2,227,9.69,0.1070951812170474,3.465310983737612,5.2189901703222255,-2.939966579987785,0.0,0.04223,43.576286,28.494282,0.0,0.0746222769547192,0.948570026369412,4.303191213031036,25.595348585800146,66.72236754577877,1.7523208791828903e-25,1.364707696933368e-11,8.8747151067506e-20,1.5267502002230158e-05,1.6095281927329597e-05,0.22043408703218378,0.3836097178092334,0.00020459710726187676,0.07866817934394463,0.16812395418667483
3,3,3,3,228,9.69,0.1117606636403045,0.1117601685514944,3.468577974772193,5.207803061814833,-2.899282171649768,0.0,0.04228,18.981829,16.239109,14.61007,12.737369,11.722013,0.0,3,228,9.69,0.1117601685514944,3.468577974772193,5.207803061814833,-2.899282171649768,0.0,0.04228,43.199432,28.159807,0.0,0.0927430986214053,1.1597986914945624,5.199938962487665,29.17955394200724,74.33974179889515,2.479449319711047e-25,1.9309954078408888e-11,1.207659272811988e-19,2.0775810990984854e-05,1.791329059374289e-05,0.22304082795227878,0.39251621321128816,0.00022401463073598184,0.07996482432817102,0.17820488184371353
4,4,4,4,229,9.69,0.1167532375067631,0.116752703114439,3.472075243048077,5.195830917521563,-2.855738045809341,0.0,0.04234,18.735191,16.010887,14.39512,12.587179,11.597417,0.0,4,229,9.69,0.116752703114439,3.472075243048077,5.195830917521563,-2.855738045809341,0.0,0.04234,42.798401,27.812519,0.0,0.1163969406927311,1.4311047601242657,6.338379624978352,33.50847388774083,83.37953109980151,3.5872994891164476e-25,2.7937892438314083e-11,1.6628750623318745e-19,2.860705728378707e-05,1.9989492090923563e-05,0.225784008658073,0.4018788957643898,0.00024577155648192704,0.08133362695448244,0.18915751419217175
5,5,5,5,230,9.69,0.121475562991419,0.1214749891606174,3.4753841563660126,5.184507463538004,-2.814547797514423,0.0,0.042399,18.507633,15.800501,14.197117,12.447188,11.481292,0.0,5,230,9.69,0.1214749891606174,3.4753841563660126,5.184507463538004,-2.814547797514423,0.0,0.042399,42.421154,27.495165,0.0,0.1435382351091923,1.7371040528419348,7.606405034331108,38.119838215966375,92.79176777659008,5.077692953472282e-25,3.9545078407667077e-11,2.2274154122586955e-19,3.831905459206265e-05,2.2059159052315813e-05,0.22837385663813684,0.4108105614255085,0.00026696060852993353,0.0826307640433865,0.19953927902939497
6,6,6,6,231,9.69,0.1261965464506988,0.1261959306246408,3.4786931237689447,5.173187314679801,-2.7733653677989905,0.0,0.04246,18.285686,15.596415,14.004456,12.30928,11.366994,0.0,6,231,9.69,0.1261959306246408,3.4786931237689447,5.173187314679801,-2.7733653677989905,0.0,0.04246,42.045769,27.188847,0.0,0.1760954885988735,2.0963328426721497,9.083303968943074,43.28269046512358,103.0928743941918,7.174975718597624e-25,5.587871893101055e-11,2.9534418219047377e-19,5.080915656109528e-05,2.423716097312579e-05,0.23078968289950086,0.41984172736929826,0.0002885318469278509,0.08400168380437546,0.2098599664515365
7,7,7,7,232,9.69,0.1311519014301698,0.1311512388969221,3.482167394702672,5.161304727024972,-2.730133876824263,0.0,0.042528,18.05843,15.387832,13.806322,12.166692,11.248534,0.0,7,232,9.69,0.1311512388969221,3.482167394702672,5.161304727024972,-2.730133876824263,0.0,0.042528,41.652386,26.876112,0.0,0.2170960230592902,2.54034933025316,10.901780868150263,49.35707888878477,114.97744368733652,1.0307981624327973e-24,8.027857243319355e-11,3.939330516400087e-19,6.776976592841388e-05,2.6677341230727606e-05,0.23302149997115,0.4292761893628785,0.0003121649350062279,0.08545912189078948,0.22087573076832623
8,8,8,8,233,9.69,0.1359720929973719,0.1359713823170155,3.4855479993098983,5.149746379563499,-2.6880773151767245,0.0,0.042599,17.84243,15.188899,13.616697,12.029768,11.134489,0.0,8,233,9.69,0.1359713823170155,3.4855479993098983,5.149746379563499,-2.6880773151767245,0.0,0.042599,41.270618,26.579195,0.0,0.2648821235066821,3.051171674330041,12.982174679853388,55.99110633462401,127.71168905806029,1.465145770323151e-24,1.1410556899953968e-10,5.178324003135445e-19,8.908463103894953e-05,2.9196859615744244e-05,0.23502777844031436,0.43841802381275635,0.00033631801897232306,0.0868132480827528,0.23186137102323015
9,9,9,9,234,9.69,0.1406062711393312,0.1406055113056917,3.4887992556202296,5.138634127985962,-2.6476393503144644,0.0,0.042671,17.638973,14.999833,13.436909,11.899446,11.025725,0.0,9,234,9.69,0.1406055113056917,3.4887992556202296,5.138634127985962,-2.6476393503144644,0.0,0.042671,40.905033,26.299896,0.0,0.3194743162735186,3.6315585074037062,15.320136985129684,63.13175302542071,141.1679957330185,2.051704616627632e-24,1.597867785180468e-10,6.697439826699979e-19,0.00011521854474649952,3.1727024227092015e-05,0.23704478040428992,0.4472100967192134,0.00036065041500192124,0.08797168367856448,0.2426692789436856
10,10,10,10,235,9.69,0.1469767531844861,0.1469759294270215,3.4923109464316715,5.125903717456229,-2.600741194324716,0.0,0.042757,17.414833,14.790602,13.237267,11.751837,10.90099,0.0,10,235,9.69,0.1469759294270215,3.4923109464316715,5.125903717456229,-2.600741194324716,0.0,0.042757,40.504772,25.996109,0.0,0.3927284117989674,4.403372709787243,18.412783583682277,72.32550069716794,158.35444145881857,2.9663284403442377e-24,2.3101769215109752e-10,8.85979392230052e-19,0.00015241832534452658,3.4613995995785455e-05,0.23914758405619818,0.45673174702824365,0.0003881010916585978,0.08918809232887823,0.2545821792617506
11,11,11,11,236,9.69,0.1532602903107653,0.1532593999993933,3.495729491733919,5.113453412618656,-2.5548809495681324,0.0,0.042842,17.19997,14.589196,13.044781,11.608519,10.779567,0.0,11,236,9.69,0.1532593999993933,3.495729491733919,5.113453412618656,-2.5548809495681324,0.0,0.042842,40.118565,25.705914,0.0,0.4786717079435555,5.300878466654062,21.984361094011277,82.53129294771352,177.09220637687474,4.2335240929235776e-24,3.297069037640942e-10,1.1574483505677931e-18,0.0001991201384744167,3.75636113385754e-05,0.241120423922534,0.4660357145930885,0.00041598476611426707,0.09030044943582628,0.26637606547542086
12,12,12,12,237,9.69,0.1625636940480429,0.1625627179995694,3.498883122969473,5.100042086992996,-2.5042351906342586,0.0,0.042933,16.982683,14.384456,12.848524,11.456124,10.647055,0.0,12,237,9.69,0.1625627179995694,3.498883122969473,5.100042086992996,-2.5042351906342586,0.0,0.042933,39.746105,25.421577,0.0,0.5847264246325616,6.400941348281121,26.340053261040644,94.9678593754164,200.0802626515257,5.966038280984487e-24,4.6463512813105497e-10,1.5039604663003799e-18,0.00025873190467883407,4.042091476878049e-05,0.2430117086265995,0.4746488140153,0.00044248368772014973,0.0913500675630439,0.27735755480089397
13,13,13,13,238,9.69,0.1737515787748655,0.1737505008351118,3.5019889976877465,5.085661812355441,-2.449475501063346,0.0,0.043029,16.758585,14.172413,12.645066,11.294284,10.504477,0.0,13,238,9.69,0.1737505008351118,3.5019889976877465,5.085661812355441,-2.449475501063346,0.0,0.043029,39.373051,25.1339,0.0,0.7187734580972219,7.781459261992189,31.768729648467048,110.23325939602722,228.15786741494816,8.412162155216996e-24,6.551392828480953e-10,1.9602308525041105e-18,0.0003372257937911164,4.33370891547636e-05,0.2449408379905953,0.4831446780467457,0.00046916840068613515,0.09237000849031027,0.2881955030861764
14,14,14,14,239,9.69,0.184757707701564,0.1847565244729874,3.5050119138846223,5.071792562119391,-2.396540940537214,0.0,0.043124,16.544226,13.968876,12.449988,11.137995,10.366504,0.0,14,239,9.69,0.1847565244729874,3.5050119138846223,5.071792562119391,-2.396540940537214,0.0,0.043124,39.018433,24.860172,0.0,0.8756603848893811,9.385898391647624,38.02165780330453,127.29995463918192,259.0744881909429,1.1661511252463859e-23,9.081986269280482e-10,2.5223097599338164e-18,0.00043392231577937465,4.6231303352433036e-05,0.2468566320859339,0.4913643003913199,0.0004955372234113234,0.09329531903612112,0.29867770111209263
15,15,15,15,240,9.69,0.1956796138180121,0.1956783204952139,3.507986201510868,5.058208079371177,-2.3447034464479253,0.0,0.043222,16.337074,13.771618,12.261165,10.985414,10.231332,0.0,15,240,9.69,0.1956783204952139,3.507986201510868,5.058208079371177,-2.3447034464479253,0.0,0.043222,38.678795,24.597605,0.0,1.0597332209312529,11.255869481336944,45.243922403822,146.50776693447028,293.4225242244622,1.5944468089663186e-23,1.2417553533698881e-09,3.2123674773235258e-18,0.0005526355077542686,4.909754050280867e-05,0.24878191110119358,0.4993064773118605,0.0005214854992170896,0.09414938780947738,0.30881586246590337
16,16,16,16,241,9.69,0.2055428190351716,0.2055414224383846,3.5106252918938354,5.046391597851656,-2.299328386734276,0.0,0.043311,16.157932,13.600574,12.097518,10.852331,10.11309,0.0,16,241,9.69,0.2055414224383846,3.5106252918938354,5.046391597851656,-2.299328386734276,0.0,0.043311,38.387074,24.372746,0.0,1.2498369992941931,13.176396306850556,52.60403388946925,165.61278058951245,327.182637382482,2.0859237823535624e-23,1.6245176752797008e-09,3.951562181620272e-18,0.0006798019180799817,5.159240070265229e-05,0.2504826214380553,0.5061783898878115,0.0005439124609560118,0.09485423557307462,0.3176326953887304
17,17,17,17,242,9.69,0.2131256906195814,0.2131242194920408,3.512485012943098,5.039264859012113,-2.270065694465887,0.0,0.043362,16.040771,13.488277,11.990161,10.765721,10.036637,0.0,17,242,9.69,0.2131242194920408,3.512485012943098,5.039264859012113,-2.270065694465887,0.0,0.043362,38.192543,24.224739,0.0,1.3922518095130043,14.612194645023244,58.07134018261142,179.3650607292488,351.0519977882791,2.4952314501672572e-23,1.9432865328074753e-09,4.5286798559210554e-18,0.0007790856149865716,5.331749500421005e-05,0.25162489102324254,0.5109358780445529,0.0005595867138855348,0.09528013028400154,0.3237606027980555
18,18,18,18,243,9.69,0.2211314222964041,0.2211298684755647,3.514449412728704,5.031607039606153,-2.239033623145703,0.0,0.043418,15.917974,13.370416,11.877523,10.674298,9.955696,0.0,18,243,9.69,0.2211298684755647,3.514449412728704,5.031607039606153,-2.239033623145703,0.0,0.043418,37.990616,24.070742,0.0,1.5589658532370512,16.28770327010441,64.41945538596586,195.1223639491439,378.2229249585447,3.005257126436192e-23,2.3404945865986416e-09,5.218797195970965e-18,0.0008978090640691366,5.512189466989113e-05,0.2528382640386739,0.5158924831712155,0.0005759004035944197,0.09571428379951434,0.3301490105088925
19,19,19,19,244,9.69,0.2291357229340136,0.2291340819257614,3.5164144659824133,5.023818900383413,-2.2078713918830104,0.0,0.043469,15.796099,13.253258,11.765584,10.582911,9.874567,0.0,19,244,9.69,0.2291340819257614,3.5164144659824133,5.023818900383413,-2.2078713918830104,0.0,0.043469,37.792244,23.918974,0.0,1.7441611635483505,18.14358270668049,71.41552758290028,212.2569155492896,407.5674093689876,3.6077001600762e-23,2.8096772886593403e-09,6.001746119897625e-18,0.0010325026752995591,5.69073204554793e-05,0.25405655213593614,0.5207897164248593,0.0005919766457814131,0.09613102283851294,0.336457954258345
20,20,20,20,245,9.69,0.2369826004784196,0.2369808702472525,3.5183395675950826,5.016150442973768,-2.1774361879391475,0.0,0.043519,15.678162,13.139685,11.657092,10.493955,9.795465,0.0,20,245,9.69,0.2369808702472525,3.5183395675950826,5.016150442973768,-2.1774361879391475,0.0,0.043519,37.601822,23.772507,0.0,1.9442916866208984,20.14430316497558,78.92043109911388,230.37972148685915,438.36941808417663,4.299314700348769e-23,3.3483067700709455e-09,6.868539819667152e-18,0.0011816204147150518,5.865779545899146e-05,0.255248265682646,0.525537850002623,0.0006077382436215942,0.09651819031404334,0.34256674411170124
21,21,21,21,246,9.69,0.2442392684157303,0.2442374530890842,3.5201156491297283,5.009149314045719,-2.149725022372576,0.0,0.043563,15.57137,13.036646,11.558686,10.413088,9.723543,0.0,21,246,9.69,0.2442374530890842,3.5201156491297283,5.009149314045719,-2.149725022372576,0.0,0.043563,37.430161,23.638939,0.0,2.145251550465417,22.1497000199625,86.40758135211834,248.1938688618553,468.3915470888156,5.035743904074818e-23,3.9218379163984875e-09,7.767685266362365e-18,0.0013363037453075263,6.033055725825531e-05,0.2563397756696899,0.5298854567390243,0.000622912378279187,0.09685239748312623,0.3481455112020225
22,22,22,22,247,9.69,0.2518110943745212,0.2518091855123844,3.521969759453861,5.001723382301794,-2.120679103804635,0.0,0.043606,15.460567,12.929552,11.456402,10.328656,9.648321,0.0,22,247,9.69,0.2518091855123844,3.521969759453861,5.001723382301794,-2.120679103804635,0.0,0.043606,37.25378,23.501051,0.0,2.3757428398075766,24.44586723770753,94.9435462113118,268.2648975095707,501.9932169553274,5.924013447230547e-23,4.6136223360770196e-09,8.819557994852306e-18,0.0015172613174113986,6.20661685943805e-05,0.2574779246532398,0.5343994469420166,0.0006386471178565308,0.09718382320848959,0.3539171434381368
23,23,23,23,248,9.69,0.2588327820833576,0.2588307901344643,3.523663438955538,4.995782600208978,-2.096412466359056,0.0,0.043643,15.367342,12.838821,11.36986,10.257612,9.585469,0.0,23,248,9.69,0.2588307901344643,3.523663438955538,4.995782600208978,-2.096412466359056,0.0,0.043643,37.119423,23.384548,0.0,2.5887459482287327,26.57650385615114,102.82110075357052,286.40556278347674,531.9106046598757,6.704383300873335e-23,5.221374465480214e-09,9.81856501859835e-18,0.0016891242059866383,6.355705081184672e-05,0.2584732478194974,0.5384467996584041,0.0006524874359117271,0.09740731746510617,0.35900525029712327
24,24,24,24,249,9.69,0.2653690732218516,0.265367002893276,3.525233982533492,4.99043590817349,-2.0744326200863297,0.0,0.043674,15.283314,12.756733,11.291566,10.193288,9.528572,0.0,24,249,9.69,0.265367002893276,3.525233982533492,4.99043590817349,-2.0744326200863297,0.0,0.043674,37.000099,23.279621,0.0,2.797052606380837,28.663752740293205,110.5095597861566,303.88624929531363,560.5281770281421,7.483218662837558e-23,5.827931532592309e-09,1.0814808167959728e-17,0.001860511614986542,6.49081657884658e-05,0.25937803748163946,0.5421426821154374,0.0006651686174018355,0.09758152157267826,0.36365436094071013
25,25,25,25,250,9.69,0.2715954106546896,0.271593262905423,3.526730494855075,4.985271525869588,-2.053422055623936,0.0,0.043702,15.203642,12.678755,11.217155,10.131987,9.474291,0.0,25,250,9.69,0.271593262905423,3.526730494855075,4.985271525869588,-2.053422055623936,0.0,0.043702,36.883453,23.180353,0.0,3.0100203830277605,30.798122982454924,118.34890632104307,321.5373653807603,589.263917804114,8.33195346470532e-23,6.488926291328652e-09,1.1850209283284256e-17,0.0020386355143025225,6.619349872275958e-05,0.26023158083868875,0.5456593483255618,0.000677282959875465,0.09773389062516924,0.36807201608091755
