,diff
0,-0.033663123865986966
1,0.000986604298859934
2,-0.011899770853446437
3,-0.03796081479821002
4,-0.01579304876826188
5,2.9718718344077777
6,-0.008179058498688323
7,-0.018866958309211652
8,-0.027162145380091804
9,-0.013739903129906531
10,-0.009202229553577721
11,-0.021082670233207635
12,-0.019351047215177858
13,0.031204436075134474
14,-0.007739235338292164
15,-0.01184428077721579
16,-0.010623217874857859
17,-0.03118966546058536
18,-0.030532809401071836
19,-0.016584968848893263
20,-0.022682437208741257
21,-0.01765298340538552
22,-0.0057637589581457154
23,0.010134660429760477
24,-0.045955659727076
25,-0.025404658885651528
26,-0.04049555758185102
27,-0.02948923662619492
28,-0.04880322734515998
29,-0.05508224674754389
30,-0.0024884286323288516
31,-0.0022193242498677176
32,-0.014467997504575315
33,-0.010630394912683807
34,-0.005349829899990244
35,-0.016495926097668354
36,-0.008536648765760093
37,-0.0035516220431061644
38,-0.020438094844779316
39,-0.005293434651772967
40,-0.004543615153858646
41,-0.003275262777318899
42,-0.004923549963790562
43,-0.014594627539978975
44,-0.00303836984601637
45,-0.02113356164902988
46,-0.004646770474941386
47,-0.005466592154501071
48,-0.00920388757017375
49,-0.012360372785703063
50,-0.23915546060591253
51,-0.005543283060469717
52,-0.006917493255598345
53,-0.002588905788345778
54,-0.006969109912241287
55,-0.010943413088397672
56,-0.005093301611413778
57,-0.006741564033985885
58,-0.022986131581137777
59,-0.009751229063344352
60,-0.007929023999553943
61,-0.009082349523772553
62,-0.002632104681962636
63,-0.01889302418483802
64,1.9870487866309765
65,0.8837660690026836
66,-0.008033123605746767
67,-0.007082132171658674
68,-0.004033820367577894
69,-0.0024941872424542096
70,-0.028315533698316873
71,-0.00948764093567785
72,-0.5476377591247193
73,-0.004698467971192799
74,-0.0026444089058906698
75,-0.007670916961031794
76,-0.007002633581860595
77,-0.007285139789470749
78,-0.0052021247313826504
79,-0.009352114916836164
80,-0.006034952897628777
81,-0.004832979787471169
82,-0.014471851782154627
83,-0.004567088316531773
84,-0.0035093770112466782
85,-0.014490601721556633
86,-0.005972568360069203
87,-0.01380451941097342
88,-0.015966704695888043
89,-0.006635589408060329
90,-0.0036601772321029386
91,-0.010270576239488353
92,-0.0039756350459086084
93,-0.006083519266159341
94,-0.009866344053805062
95,-0.0022117490831538994
96,-0.02485216285787311
97,-0.002144280779832673
98,-0.018339305169748625
99,-0.002762753691745137
100,-0.0041313908077631415
101,-0.015834758227294993
102,-0.016207277514762714
103,-0.010595177267013785
