,diff
0,-1.1914944263417557
1,0.2913899732532812
2,-84239.12134524356
3,-129249.2184501461
4,-152531.09101938445
5,339.158320521168
6,-74435.22660214138
7,-43036.75222447426
8,-27823.98114352385
9,-260236.17789267615
10,-1598.7769072249407
11,-15798.942786380863
12,-216250.3769426131
13,41.71404820685701
14,-1259.8511985851442
15,-99307.00736544377
16,-1593.8963990225836
17,-299328.6705452621
18,-106488.90632170462
19,-3.1867490147747874
20,-194727.51312497535
21,-1.7920318038245793
22,-0.8714398387311462
23,114229.74363456736
24,-103453.64807610282
25,-7025.17210908853
26,-3.9368147858876394
27,-7203.147878720097
28,-255289.25903526996
29,-169510.12588134318
30,-11343.615961837231
31,-1020121.3861159922
32,-5179.456460682088
33,-39370.374204547574
34,-420.62160262746767
35,-437194.3455334817
36,-6825.334479186306
37,-180.38974291276148
38,-3909.0754076893445
39,-16562.23864959435
40,-9724.208602215338
41,-14270.572846065186
42,-21842.309475417285
43,-639617.6624947498
44,-7207.408867639656
45,-25798.396351879728
46,-14423.606284671016
47,-24963.78755764684
48,-4501.607014929914
49,-219682.9296356418
50,-45234643.5071348
51,-6458283.712639422
52,-2152673.4619061197
53,-305.1464420079331
54,-1775108.7316318543
55,-3698753.779850467
56,-882150.527712029
57,-5026.78167382601
58,-512.0712202676825
59,-5259.731444344661
60,-5067.472313661835
61,-7587.870082368355
62,-4956.259039988441
63,-1880.4885142805429
64,152.1604311479257
65,48.573939035156165
66,-9511.210989231166
67,-7234.400197405859
68,-300.73456664237307
69,-4435.788332122905
70,-1513.8608452122785
71,-2171.224147673316
72,-1852196.9155180042
73,-1392638.7377444908
74,-30476.88234093585
75,-2263.4145942170426
76,-1813626.854176803
77,-11088.945716205393
78,-2402.7609334974973
79,-7602.223611343642
80,-13872.349889076047
81,-1562.3598438083682
82,-3121.483158811647
83,-1491.0185395837764
84,-1811.3244703393163
85,-4422988.644126596
86,-393681.62164274347
87,-5680.185178035369
88,-7237.564720213254
89,-3162032.7532811956
90,-10843.399162651853
91,-2939479.5571768833
92,-1715094.2249482514
93,-7233.060452967892
94,-1510.029779392004
95,-3015.9272426888574
96,-969667.816777669
97,-4700.081042415917
98,-4517.088024721099
99,-57.402463204106546
100,-240.19433598748537
101,-9008269.01081956
102,-3945.308718236198
103,-481.7641845856765
104,-126.04113995374775
105,-5148.900631247289
106,-3902.1042723196488
107,-4173.555477500909
108,-2844.2952392787906
109,-147134.91534621688
110,-2855.923632894277
111,-113.3696108242907
112,-2852.757284119742
113,-2431246.395598127
114,-2597.205852726407
115,-2399066.435210748
116,-599.9641037486592
117,-258622.33807008568
118,-4916.715058576458
119,-74772.00829207015
120,-134092.30792793943
121,-11799.08247202893
122,-23636.923902337636
123,-290052.0504924236
124,-39254.199204775854
125,-3544.0028523313513
126,-11689.120910218178
127,-34.25781057715035
128,-16328.232064130423
129,-9291.803809174546
130,-2366846.372394666
131,-1673.4878175894412
132,-2036838.2920303526
133,-9.622531216343054
134,-6.916729260442976
135,-47.20770856985521
136,-1433692.4540417243
137,-0.4072640048405383
138,-4367.783210747866
139,-326.89819456154015
140,-9398.446396346451
141,-3818.1808231463992
142,-250.69331801657088
143,-12072.398654570006
144,-9.829707291098583
145,-390.20920438504095
146,-6.426512181434411
147,-5308.137481483572
148,-0.4060486702420081
149,-11185.06585155413
150,2090.350263470351
151,-0.20738354816892154
152,-11519.559413849405
153,-18059.856369025838
154,-1037.8179391739957
155,-15.918901922022894
156,-33721.053211818195
157,-584.0572663553658
158,-6.493730436573951
159,-6383.216442638919
160,-1446.0860442638098
161,-2816.376810780074
162,77.61874179833114
163,-1721225.6282898467
164,-7573.473652096309
165,-4520939.526135579
166,135.7469974368741
167,-21.111891984779735
168,-27680.74443102547
169,-11497.47782152761
170,-10279.498257282128
171,-1911.8268217418663
172,-5127.725761031153
173,-1275.4116251862788
174,-1340.1656967314834
175,-6838.835268254757
176,-53.895593416595325
177,-1374013.126815486
178,-67327.27410428095
179,-0.4994873919513648
180,-677937.5773406854
181,117.79474964809505
182,-0.16742006433457413
183,-2071.7049965601445
184,-56988.56539569804
185,-132158.9144130395
186,-1621289.7721184238
187,-0.06980436160425642
188,-10032.101910210744
189,-225127.40664156363
190,-3295.241866145044
191,-878984.4358840914
192,-29199.283258368505
193,-3637.622829069732
194,-415380.53898333374
195,0.015119023247920284
196,-10483.153246363037
197,-6883.6254647401565
198,-6445.6368766916485
199,-3.376799570293456
200,-765.409512101709
201,-43.59250977214351
202,-0.03263148479298493
203,-4161.884829825287
204,-90829.1893528325
205,-67896.93455067146
206,-2.5895955117677847
207,-4612.54577083067
208,-84682.90966908562
209,-482.7456081822484
210,-63621.71284066448
211,-24505.099135946566
212,-1.149318481462811
213,-0.616045976068515
214,7166000.268207338
215,-6235.289762820539
216,-970.4236236670512
217,-1834085.857542532
218,-1.7664909225995733
219,-39104.56675218437
220,-15446.199249323916
221,-0.02757859210070858
222,-3963.6578712426603
223,-3.439972553681283
224,-0.5963385617139005
225,-1531.833204864739
226,-3868.2281282054983
227,-132143.98596908245
228,-7049.550061729264
229,-4987.399723617291
230,-742.7834553933984
231,-162725.07507772263
232,-807.1000746124837
233,-46891.16271922707
234,-2.812640509256893
235,-825.6892510453747
236,-26175.99835412674
237,-217911.18053779687
238,-5629.986917702762
239,-1608.2588877811668
240,97.98917123839799
241,-3771.800842564947
242,-0.10155600433805406
243,-1692.5551584518867
244,-25798.396351879728
245,-26899.157395907812
246,-142754.2541190831
247,-461736.31721184996
248,-344.0693423467156
249,-80884.22183911075
250,-6718.0663526025755
251,-1611.9992470545299
252,-16688.535925529115
253,-531.2971377512761
254,-65637.03508030245
255,-1010.8097745171247
256,-2258.1577349456334
257,-7.213068623423149
258,-0.26022439116328955
259,-11514.701798238133
260,-296925.5903737433
261,-4.387175394683981
262,-34308.61576709918
263,255.3132206267868
264,7354394.513297663
265,823.1155375429641
266,-29510.054406155832
267,-1483176.9618206176
268,-129249.2184501461
269,-27440.264446593876
270,-13355.152082721388
271,-44020.901044633385
272,-1753.9901384271056
273,-8513.381562903005
274,-0.6557966081818077
275,-2683.207279057291
276,-59459.79963888238
277,-7562.8705380969095
278,-644325.3586659016
279,-13995.066560412637
280,-3974.911154983161
281,-6.530373453893592
282,-177.08911666357582
283,-5151.358366396166
284,-0.06237469381791508
285,-38215.12386671806
286,-2264.031596133838
287,-9.954080645164517
288,-306849.27102974814
289,-74435.22660214138
290,-221.2757525268229
291,-27823.98114352385
292,-1.0274069610312488
293,-327.6609073340633
294,-319.0584433031486
295,-0.34838102445843333
296,-1235.8290320178937
297,-1007.5066153112765
298,-48045.8684408463
299,-6334.830640661299
300,-36625.475270029776
301,360.2961546898889
302,-31085.498007305854
303,-14191.73281677025
304,-18.67752180787847
305,-0.6853563584560582
306,-3766.6033525211215
307,-1.2065056857787966
308,-7855.629653881649
309,-25.137112885070046
310,-269285.4056877113
311,-3.162841865421099
312,-9372.599435516246
313,-3846.165907368587
314,-31192506.824467763
315,-16443.85275960561
316,-26308.958147076886
317,-1642.4317725612414
318,-65.73931227702995
319,-99401.07753843779
320,-993658.442624405
321,-156153.64016175605
322,-516204.7609134004
323,825.2975490096385
324,-3693.1647452575035
325,-771489.7643469772
326,-8.005943019164505
327,-0.06467308566166288
328,-0.14195191593787318
329,-262.2126809734477
330,-6498.33338912585
331,-18750.156261257016
332,-0.2512925243998885
333,-5222.948825922191
334,-7303788.612190989
335,-94996.5804646897
336,-10650.161163978786
337,-2406.228330320303
338,-1044.1604320073625
339,-509577.8729514486
340,-2241.648864638179
341,-5872.456784907469
342,-44.72208228033716
343,-644.5464514880443
344,-534495.9925422935
345,-10.862270085820022
346,-0.8847077618626997
347,-3.107805143322628
348,-4513.043290270941
349,-990.3455723576437
350,-15.432013598758118
351,-447.6381389085694
352,-154.50152969837816
353,-3344.1974399990695
354,-16077.02699900714
355,-8313.96322250458
356,-2543.789022174526
357,-7427.091807676405
358,-5531.103582460275
359,-12463.441014368533
360,-1264251.4086899261
361,-9915.669269416665
362,-410725.3796318092
363,51.51529983563908
364,-5026.78167382601
365,-512.0712202676825
366,-0.00918372064097443
367,-3540.9935924021984
368,-3396.6718212290925
369,-1212869.0029573662
370,-3884.4780450690428
371,-445.42948811588644
372,-13711.991037904942
373,-59302.45512538924
374,-4.671244879388825
375,-32.923233801029184
376,-3970.790003859121
377,-5239.826616876392
378,-0.04833795301282414
379,-171140.67395871307
380,-1373642.5369838262
381,-2698.330034274874
382,-1343.8165619907154
383,-1127134.3826282194
384,-115915.87441998663
385,-5880.244667208332
386,-71324.14758060483
387,-5982295.52129462
388,-4171.964965138621
389,-5159948.373523895
390,-0.7412523316115243
391,-185243.76954049448
392,99.78082558273701
393,-10204.765023155585
394,-4956.259039988441
395,-3208.9169520805754
396,-1880.4885142805429
397,-1437.0131240381788
398,-9667.761625374944
399,-0.6081425117262849
400,-1486.2156058906953
401,48.573939035156165
402,-614.2823909321949
403,-46.072206220558286
404,-7597.756523395511
405,-6193.338340639799
406,-2922606.7991988324
407,-2419.086263611389
408,-266544.694971925
409,-375.27503658789345
410,-7.462350519990723
411,-381700.29417587386
412,-6007.946896115817
413,-110.1586331765555
414,-5292.774785393231
415,-1072932.7527801844
416,-3083294.180256398
417,-3712.710308676556
418,-372706.90419330326
419,-10.282583107915105
420,-398800.03328448464
421,-4301.844830951301
422,-3822.563580583753
423,-4940.683148014855
424,-77482.05594559258
425,-519764.7772367703
426,-6628.767060807972
427,-3809.8159334931784
428,-12422.049181513286
429,-90.30542295658208
430,-17393.12296954151
431,-20.046896192631426
432,-1309883.5047523035
433,-776.6255867185102
434,-90889.99116757738
435,-86310.55490340802
436,-121.37665329465923
437,-179713.976330703
438,-70.99179485255445
439,-5918.829801001356
440,-1615.0145778949745
441,-120.6258159234707
442,-1142.625190029364
443,-1194.1479811721283
444,-3993.4720821494257
445,-4621.1289942464255
446,-90.08525748258954
447,-4048.415610691139
448,-67.65585076621458
449,-234604.9781052097
450,-770926.6887310642
451,-10082.129322973231
452,-110730.5503049582
453,-223776.7114586996
454,-89.22091268476696
455,-6806.282509511949
456,-0.8632141155170268
457,-1097.962150556421
458,-6186.118229822769
459,-8179732561.037522
460,-194616.1434251918
461,-4200.779677002077
462,-2382.683022480553
463,-0.19616706191191863
464,-1467.4287668259121
465,-175661.76908979652
466,-66941127.942357965
467,-302935.4390118879
468,-9730.384090117703
469,-206.77373890913194
470,-11915.103903447485
471,-13.635992607578057
472,-1934230.1623361064
473,-62856.413994958006
474,-1618241.0346706654
475,-285.30912354152895
476,-1867928.817441927
477,-1847.9160108796616
478,-18.74859544039686
479,-14136.18084189968
480,-3194.5962414022856
481,-4.31758835515339
482,-9142.939980905523
483,-7691.282662479733
484,-428.4032928466477
485,-6.916729260442976
486,-1930483.3563494263
487,-5680.185178035369
488,-2.9798886240900044
489,-490399.5861555941
490,-6391.117199906583
491,-280.1942368370461
492,-1405.1222262318572
493,-143727.58371664523
494,-3014.4217566489438
495,-851255.1206263913
496,-11203986.218886858
497,-6928.393357135283
498,-186.3151978778933
499,-7096.614184223619
500,-10225.73632681371
501,-4972.4457750680685
502,-263.5923773883688
503,-4135.153480960055
504,-138.35685889486004
505,-29913.20571581412
506,-6567.356776724599
507,-4344.813268810694
508,-8747.46345153693
509,-2366.2385310539166
510,-451.90063613831535
511,-8060.065905181254
512,-2438.89929950923
513,-10843.399162651853
514,-1397455.6250663893
515,-2917056.753750106
516,-71.13180242584406
517,-5.024369624423691
518,-40617.882980027294
519,-2717.765406194762
520,-591379.2297127312
521,-263774.73460424395
522,-602631.317776512
523,-5498.957008126398
524,-792631.4678834225
525,-2785.7598564171726
526,-79.62901220774097
527,-500225.8157837734
528,-416092.35034968227
529,-318.32454644180876
530,-208.22028062612912
531,52294917.147606045
532,-891.1092765820679
533,-3764.8475111858083
534,-224055.59690863418
535,-630.3555345860289
536,-15472.24200556781
537,-98.90372848620578
538,-1919.5128608045545
539,-972645.4015316917
540,-1877.542142212903
541,-86584.31350351655
542,-0.007928135391619589
543,-273905.844935036
544,-15692.507923679648
545,-884.1904913304376
546,-11.310594665417582
547,-16860.80791203809
548,-148174.86299064802
549,-210939.68101271638
550,-1443023.0877873243
551,-105714.49839875
552,7438411.995537093
553,-47485.265451496154
554,-1464.2723640896788
555,-12681.858977083042
556,-490.2489709714392
557,-0.05533549487257698
558,-2397.4183426961254
559,-3148.4632867244914
560,-39193.355516702766
561,-2821.394939665333
562,-990832.7542671401
563,-3028.6512091935115
564,-205.6401855485318
565,-20575.70435871821
566,-110770.79874462761
567,-4034.537164665897
568,-235.4764731509792
569,-1227.820983774356
570,-4683.9814198152035
571,-0.012979030390578905
572,-1530.9765017224754
573,-11046.695734121271
574,-158652.29780493496
575,-152265.15516696984
576,-70348.01723415987
577,-7601.274243971319
578,-564.698768911054
579,-1959.6289154826038
580,-1507.743543037637
581,0.27521857115606363
582,-244.57773614769874
583,-9580.482055882863
584,-3388.3806176857115
585,-34100.53014341474
586,-0.04464350645988269
587,3300402.263495692
588,-520070.80425733665
589,-236478.5757625454
590,-0.4057658848121062
591,-996278.5904089344
592,-0.11341355322177887
593,-5305.118117560275
594,-409916.1956702636
595,9419586.341054812
596,-9131.6029207679
597,-7943.908609676162
598,-3624.413510887087
599,-33784.13704701537
600,-307405.3183496771
601,-13.89890575478316
602,3008554.552998208
603,-862480.2357024869
604,-0.01716448987520961
605,-3482834.0889610024
606,-171036.38255905808
607,-887765.0240464557
608,-461.8077595602935
609,-26164.66699701141
610,-15049.152711864208
611,-33.194842933668845
612,-7737.485016554126
613,-6478.91837946017
614,-209591.36660926073
615,-1858477.1014548196
616,-36050.460804050585
617,-2303.338739311818
618,-1.9708775136019572
619,-8694.791684246537
620,-10.684797410631132
621,-1.0895561910545841
622,-22906.082502842703
623,-707.4768438721273
624,-33824.609723410606
625,-16827.84119295824
626,-3170.974380670626
627,-2.7181835770957257
628,-3201.9908106671473
629,-68029.28363213483
630,-2852.757284119742
631,-394.852706467561
632,-105.33173289847056
633,-8181.3616690758645
634,-301.0347541797135
635,-2651.758002262681
636,-1045.29530724956
637,-491829.991989529
638,-3.3973215400701964
639,-5636.499434491977
640,-4067.150860907512
641,-47655.788884327936
642,-11596.410073610208
643,-4952.0144836896625
644,-308795.5483491503
645,694.9278062122967
646,-4287.948068079451
647,-0.4481588492105838
648,202.00309111489514
649,-3252.0595929190663
650,-20791.784056103887
651,-22.831794369918214
652,-70959.72060017072
653,-0.1868388839312939
654,-64386.33396138045
655,-0.12369155482157684
656,-6765.674763956039
657,-1.687653344242754
658,-1322.505645520243
659,-5324.1956797608445
660,-9551.448649183654
661,-5540.973131284215
662,-261103.62251459865
663,-2267.490987987974
664,-0.14705027792690895
665,-357646.29631394474
666,-4.515326775971929
667,-722.1933036166201
668,9.659282641049671
669,-0.6705090717619874
670,4728.001023170648
671,61861844.906845786
672,-0.043649681653620515
673,-148824.81464672295
674,-409.89874191369574
675,-13.970838058933275
676,-1.046539782573304
677,-0.1604911824816626
678,-0.31805486586541354
679,-1.3462360529168838
680,-6332.111207102295
681,-290052.0504924236
682,-39254.199204775854
683,-4753880.623678676
684,-300560.5432226759
685,-5604.907177513594
686,-15793.964739776266
687,-0.2775530312391492
688,-9677.58153738158
689,-0.06687396591145356
690,-7199.962027415863
691,-589454.9112279789
692,-391.56146267987816
693,-194727.51312497535
694,-56542.047942337755
695,-115598.753959689
696,-11575.641030582945
697,-80184.05353612467
698,-1834.7350279918705
699,-10290.868303355977
700,-1802.5194484355966
701,-5795.296688047783
702,-7415.803809327501
703,-0.5840634008592761
704,-721.2794076166305
705,11860028.89202471
706,-1620.5989520131732
707,-48198.96415954237
708,-0.05689099728398889
709,-1946.1605574911127
710,-9753.303514879917
711,-605.8034766579891
712,-17883.575810966646
713,-0.2239940609426062
714,-0.6179220100223328
715,-21520.609227389592
716,-23315.238564847168
717,-358962.2001128642
718,-138443.40499121035
719,-3815.8860906848845
720,-6843.191301558363
721,-15207.345280977665
722,-6337.772571109547
723,-31189.77622329503
724,-161.1926541154657
725,-44.81361674755129
726,-799966.0298298066
727,-4615043.906087065
728,-107287.82011319934
